,COUNTYNAME,STATE,OCCUPATION_LEVEL,TOTALS,MALE,PERCENT_MALE,FEMALE,PERCENT FEMALE
9049,Glasscock County,TX,SALES_OFFICE,45,4,8.9,41,91.1
9050,Goliad County,TX,SALES_OFFICE,709,174,24.5,535,75.5
9051,Gonzales County,TX,SALES_OFFICE,1808,470,26,1338,74
9052,Gray County,TX,SALES_OFFICE,1871,548,29.3,1323,70.7
9053,Grayson County,TX,SALES_OFFICE,13508,4665,34.5,8843,65.5
9054,Gregg County,TX,SALES_OFFICE,12579,3993,31.7,8586,68.3
9055,Grimes County,TX,SALES_OFFICE,2315,602,26,1713,74
9056,Guadalupe County,TX,SALES_OFFICE,17067,6760,39.6,10307,60.4
9057,Hale County,TX,SALES_OFFICE,3030,1058,34.9,1972,65.1
9058,Hall County,TX,SALES_OFFICE,280,67,23.9,213,76.1
9059,Hamilton County,TX,SALES_OFFICE,699,224,32,475,68
9060,Hansford County,TX,SALES_OFFICE,339,124,36.6,215,63.4
9061,Hardeman County,TX,SALES_OFFICE,299,65,21.7,234,78.3
9062,Hardin County,TX,SALES_OFFICE,5684,2087,36.7,3597,63.3
9063,Harris County,TX,SALES_OFFICE,481536,184790,38.4,296746,61.6
9064,Harrison County,TX,SALES_OFFICE,5180,1471,28.4,3709,71.6
9065,Hartley County,TX,SALES_OFFICE,339,86,25.4,253,74.6
9066,Haskell County,TX,SALES_OFFICE,439,151,34.4,288,65.6
9067,Hays County,TX,SALES_OFFICE,24635,10174,41.3,14461,58.7
9068,Hemphill County,TX,SALES_OFFICE,469,193,41.2,276,58.8
9069,Henderson County,TX,SALES_OFFICE,6906,2293,33.2,4613,66.8
9070,Hidalgo County,TX,SALES_OFFICE,77031,31064,40.3,45967,59.7
9071,Hill County,TX,SALES_OFFICE,3222,863,26.8,2359,73.2
9072,Hockley County,TX,SALES_OFFICE,2327,723,31.1,1604,68.9
9073,Hood County,TX,SALES_OFFICE,5110,2240,43.8,2870,56.2
9074,Hopkins County,TX,SALES_OFFICE,3385,1186,35,2199,65
9075,Houston County,TX,SALES_OFFICE,1910,537,28.1,1373,71.9
9076,Howard County,TX,SALES_OFFICE,3377,964,28.5,2413,71.5
9077,Hudspeth County,TX,SALES_OFFICE,236,65,27.5,171,72.5
9078,Hunt County,TX,SALES_OFFICE,9033,3131,34.7,5902,65.3
9079,Hutchinson County,TX,SALES_OFFICE,2035,684,33.6,1351,66.4
9080,Irion County,TX,SALES_OFFICE,121,45,37.2,76,62.8
9081,Jack County,TX,SALES_OFFICE,717,223,31.1,494,68.9
9082,Jackson County,TX,SALES_OFFICE,1225,269,22,956,78
9083,Jasper County,TX,SALES_OFFICE,2459,570,23.2,1889,76.8
9084,Jeff Davis County,TX,SALES_OFFICE,159,18,11.3,141,88.7
9085,Jefferson County,TX,SALES_OFFICE,22843,7193,31.5,15650,68.5
9086,Jim Hogg County,TX,SALES_OFFICE,301,61,20.3,240,79.7
9087,Jim Wells County,TX,SALES_OFFICE,3207,918,28.6,2289,71.4
9088,Johnson County,TX,SALES_OFFICE,14829,5342,36,9487,64
9089,Jones County,TX,SALES_OFFICE,964,245,25.4,719,74.6
9090,Karnes County,TX,SALES_OFFICE,1112,433,38.9,679,61.1
9091,Kaufman County,TX,SALES_OFFICE,13250,4386,33.1,8864,66.9
9092,Kendall County,TX,SALES_OFFICE,4451,1911,42.9,2540,57.1
9093,Kenedy County,TX,SALES_OFFICE,51,20,39.2,31,60.8
9094,Kent County,TX,SALES_OFFICE,54,22,40.7,32,59.3
9095,Kerr County,TX,SALES_OFFICE,5127,1546,30.2,3581,69.8
9096,Kimble County,TX,SALES_OFFICE,472,90,19.1,382,80.9
9097,King County,TX,SALES_OFFICE,23,2,8.7,21,91.3
9098,Kinney County,TX,SALES_OFFICE,124,88,71,36,29
9099,Kleberg County,TX,SALES_OFFICE,2720,1015,37.3,1705,62.7
9100,Knox County,TX,SALES_OFFICE,235,76,32.3,159,67.7
9101,Lamar County,TX,SALES_OFFICE,4820,1483,30.8,3337,69.2
9102,Lamb County,TX,SALES_OFFICE,1029,373,36.2,656,63.8
9103,Lampasas County,TX,SALES_OFFICE,1700,561,33,1139,67
9104,La Salle County,TX,SALES_OFFICE,358,156,43.6,202,56.4
9105,Lavaca County,TX,SALES_OFFICE,1751,578,33,1173,67
9106,Lee County,TX,SALES_OFFICE,1842,548,29.8,1294,70.2
9107,Leon County,TX,SALES_OFFICE,1304,284,21.8,1020,78.2
9108,Liberty County,TX,SALES_OFFICE,6011,1897,31.6,4114,68.4
9109,Limestone County,TX,SALES_OFFICE,1790,567,31.7,1223,68.3
9110,Lipscomb County,TX,SALES_OFFICE,282,81,28.7,201,71.3
9111,Live Oak County,TX,SALES_OFFICE,1010,317,31.4,693,68.6
9112,Llano County,TX,SALES_OFFICE,2035,633,31.1,1402,68.9
9113,Loving County,TX,SALES_OFFICE,3,0,0,3,100
9114,Lubbock County,TX,SALES_OFFICE,34939,13911,39.8,21028,60.2
9115,Lynn County,TX,SALES_OFFICE,517,212,41,305,59
9116,McCulloch County,TX,SALES_OFFICE,680,115,16.9,565,83.1
9117,McLennan County,TX,SALES_OFFICE,25891,8459,32.7,17432,67.3
9118,McMullen County,TX,SALES_OFFICE,32,10,31.3,22,68.8
9119,Madison County,TX,SALES_OFFICE,838,210,25.1,628,74.9
9120,Marion County,TX,SALES_OFFICE,822,210,25.5,612,74.5
9121,Martin County,TX,SALES_OFFICE,515,185,35.9,330,64.1
9122,Mason County,TX,SALES_OFFICE,515,187,36.3,328,63.7
9123,Matagorda County,TX,SALES_OFFICE,3036,816,26.9,2220,73.1
9124,Maverick County,TX,SALES_OFFICE,4652,1595,34.3,3057,65.7
9125,Medina County,TX,SALES_OFFICE,3937,945,24,2992,76
9126,Menard County,TX,SALES_OFFICE,194,5,2.6,189,97.4
9127,Midland County,TX,SALES_OFFICE,17864,6265,35.1,11599,64.9
9128,Milam County,TX,SALES_OFFICE,2118,607,28.7,1511,71.3
9129,Mills County,TX,SALES_OFFICE,530,236,44.5,294,55.5
9130,Mitchell County,TX,SALES_OFFICE,573,158,27.6,415,72.4
9131,Montague County,TX,SALES_OFFICE,1872,517,27.6,1355,72.4
9132,Montgomery County,TX,SALES_OFFICE,57894,25058,43.3,32836,56.7
9133,Moore County,TX,SALES_OFFICE,1725,452,26.2,1273,73.8
9134,Morris County,TX,SALES_OFFICE,927,346,37.3,581,62.7
9135,Motley County,TX,SALES_OFFICE,32,14,43.8,18,56.3
9136,Nacogdoches County,TX,SALES_OFFICE,6326,1941,30.7,4385,69.3
9137,Navarro County,TX,SALES_OFFICE,3976,1392,35,2584,65
9138,Newton County,TX,SALES_OFFICE,964,386,40,578,60
9139,Nolan County,TX,SALES_OFFICE,1076,382,35.5,694,64.5
9140,Nueces County,TX,SALES_OFFICE,36975,12639,34.2,24336,65.8
9141,Ochiltree County,TX,SALES_OFFICE,1005,360,35.8,645,64.2
9142,Oldham County,TX,SALES_OFFICE,187,60,32.1,127,67.9
9143,Orange County,TX,SALES_OFFICE,7809,2545,32.6,5264,67.4
9144,Palo Pinto County,TX,SALES_OFFICE,2696,846,31.4,1850,68.6
9145,Panola County,TX,SALES_OFFICE,2253,635,28.2,1618,71.8
9146,Parker County,TX,SALES_OFFICE,13563,4908,36.2,8655,63.8
9147,Parmer County,TX,SALES_OFFICE,666,291,43.7,375,56.3
9148,Pecos County,TX,SALES_OFFICE,1113,357,32.1,756,67.9
9149,Polk County,TX,SALES_OFFICE,4298,1102,25.6,3196,74.4
9150,Potter County,TX,SALES_OFFICE,11139,3568,32,7571,68
9151,Presidio County,TX,SALES_OFFICE,322,157,48.8,165,51.2
9152,Rains County,TX,SALES_OFFICE,911,272,29.9,639,70.1
9153,Randall County,TX,SALES_OFFICE,17375,6803,39.2,10572,60.8
9154,Reagan County,TX,SALES_OFFICE,352,82,23.3,270,76.7
9155,Real County,TX,SALES_OFFICE,388,113,29.1,275,70.9
9156,Red River County,TX,SALES_OFFICE,966,194,20.1,772,79.9
9157,Reeves County,TX,SALES_OFFICE,1094,256,23.4,838,76.6
9158,Refugio County,TX,SALES_OFFICE,489,223,45.6,266,54.4
9159,Roberts County,TX,SALES_OFFICE,69,22,31.9,47,68.1
9160,Robertson County,TX,SALES_OFFICE,1588,436,27.5,1152,72.5
9161,Rockwall County,TX,SALES_OFFICE,11071,4525,40.9,6546,59.1
9162,Runnels County,TX,SALES_OFFICE,915,282,30.8,633,69.2
9163,Rusk County,TX,SALES_OFFICE,3884,1166,30,2718,70
9164,Sabine County,TX,SALES_OFFICE,968,201,20.8,767,79.2
9165,San Augustine County,TX,SALES_OFFICE,581,229,39.4,352,60.6
9166,San Jacinto County,TX,SALES_OFFICE,2394,683,28.5,1711,71.5
9167,San Patricio County,TX,SALES_OFFICE,5957,1724,28.9,4233,71.1
9168,San Saba County,TX,SALES_OFFICE,323,130,40.2,193,59.8
9169,Schleicher County,TX,SALES_OFFICE,236,72,30.5,164,69.5
9170,Scurry County,TX,SALES_OFFICE,1570,484,30.8,1086,69.2
9171,Shackelford County,TX,SALES_OFFICE,334,140,41.9,194,58.1
9172,Shelby County,TX,SALES_OFFICE,1771,643,36.3,1128,63.7
9173,Sherman County,TX,SALES_OFFICE,258,74,28.7,184,71.3
9174,Smith County,TX,SALES_OFFICE,21465,7785,36.3,13680,63.7
9175,Somervell County,TX,SALES_OFFICE,658,186,28.3,472,71.7
9176,Starr County,TX,SALES_OFFICE,3304,1143,34.6,2161,65.4
9177,Stephens County,TX,SALES_OFFICE,676,176,26,500,74
9178,Sterling County,TX,SALES_OFFICE,132,78,59.1,54,40.9
9179,Stonewall County,TX,SALES_OFFICE,132,51,38.6,81,61.4
9180,Sutton County,TX,SALES_OFFICE,442,200,45.2,242,54.8
9181,Swisher County,TX,SALES_OFFICE,595,177,29.7,418,70.3
9182,Tarrant County,TX,SALES_OFFICE,237398,93935,39.6,143463,60.4
9183,Taylor County,TX,SALES_OFFICE,14546,4773,32.8,9773,67.2
9184,Terrell County,TX,SALES_OFFICE,49,22,44.9,27,55.1
9185,Terry County,TX,SALES_OFFICE,798,215,26.9,583,73.1
9186,Throckmorton County,TX,SALES_OFFICE,191,44,23,147,77
9187,Titus County,TX,SALES_OFFICE,3079,973,31.6,2106,68.4
9188,Tom Green County,TX,SALES_OFFICE,12966,4413,34,8553,66
9189,Travis County,TX,SALES_OFFICE,140949,61950,44,78999,56
9190,Trinity County,TX,SALES_OFFICE,1052,259,24.6,793,75.4
9191,Tyler County,TX,SALES_OFFICE,1374,366,26.6,1008,73.4
9192,Upshur County,TX,SALES_OFFICE,4445,1691,38,2754,62
9193,Upton County,TX,SALES_OFFICE,226,49,21.7,177,78.3
9194,Uvalde County,TX,SALES_OFFICE,2558,900,35.2,1658,64.8
9195,Val Verde County,TX,SALES_OFFICE,3823,1509,39.5,2314,60.5
9196,Van Zandt County,TX,SALES_OFFICE,4549,1639,36,2910,64
9197,Victoria County,TX,SALES_OFFICE,9918,3566,36,6352,64
9198,Walker County,TX,SALES_OFFICE,4919,1741,35.4,3178,64.6
9199,Waller County,TX,SALES_OFFICE,5539,1781,32.2,3758,67.8
9200,Ward County,TX,SALES_OFFICE,868,282,32.5,586,67.5
9201,Washington County,TX,SALES_OFFICE,3059,978,32,2081,68
9202,Webb County,TX,SALES_OFFICE,28572,12227,42.8,16345,57.2
9203,Wharton County,TX,SALES_OFFICE,3849,1321,34.3,2528,65.7
9204,Wheeler County,TX,SALES_OFFICE,641,241,37.6,400,62.4
9205,Wichita County,TX,SALES_OFFICE,11794,4111,34.9,7683,65.1
9206,Wilbarger County,TX,SALES_OFFICE,1205,331,27.5,874,72.5
9207,Willacy County,TX,SALES_OFFICE,1553,549,35.4,1004,64.6
9208,Williamson County,TX,SALES_OFFICE,64366,26003,40.4,38363,59.6
9209,Wilson County,TX,SALES_OFFICE,4599,1456,31.7,3143,68.3
9210,Winkler County,TX,SALES_OFFICE,588,135,23,453,77
9211,Wise County,TX,SALES_OFFICE,6378,2104,33,4274,67
9212,Wood County,TX,SALES_OFFICE,3821,1188,31.1,2633,68.9
9213,Yoakum County,TX,SALES_OFFICE,632,212,33.5,420,66.5
9214,Young County,TX,SALES_OFFICE,1399,484,34.6,915,65.4
9215,Zapata County,TX,SALES_OFFICE,725,127,17.5,598,82.5
9216,Zavala County,TX,SALES_OFFICE,692,231,33.4,461,66.6
9217,Beaver County,UT,SALES_OFFICE,582,269,46.2,313,53.8
9218,Box Elder County,UT,SALES_OFFICE,4455,1567,35.2,2888,64.8
9219,Cache County,UT,SALES_OFFICE,12561,5305,42.2,7256,57.8
9220,Carbon County,UT,SALES_OFFICE,2092,690,33,1402,67
9221,Daggett County,UT,SALES_OFFICE,13,0,0,13,100
9222,Davis County,UT,SALES_OFFICE,38830,15822,40.7,23008,59.3
9223,Duchesne County,UT,SALES_OFFICE,1400,412,29.4,988,70.6
9224,Emery County,UT,SALES_OFFICE,760,199,26.2,561,73.8
9225,Garfield County,UT,SALES_OFFICE,551,165,29.9,386,70.1
9226,Grand County,UT,SALES_OFFICE,916,369,40.3,547,59.7
9227,Iron County,UT,SALES_OFFICE,5120,1610,31.4,3510,68.6
9228,Juab County,UT,SALES_OFFICE,977,236,24.2,741,75.8
9229,Kane County,UT,SALES_OFFICE,777,352,45.3,425,54.7
9230,Millard County,UT,SALES_OFFICE,1054,313,29.7,741,70.3
9231,Morgan County,UT,SALES_OFFICE,922,344,37.3,578,62.7
9232,Piute County,UT,SALES_OFFICE,115,10,8.7,105,91.3
9233,Rich County,UT,SALES_OFFICE,223,51,22.9,172,77.1
9234,Salt Lake County,UT,SALES_OFFICE,145055,59056,40.7,85999,59.3
9235,San Juan County,UT,SALES_OFFICE,983,330,33.6,653,66.4
9236,Sanpete County,UT,SALES_OFFICE,2382,670,28.1,1712,71.9
9237,Sevier County,UT,SALES_OFFICE,1701,574,33.7,1127,66.3
9238,Summit County,UT,SALES_OFFICE,4272,1873,43.8,2399,56.2
9239,Tooele County,UT,SALES_OFFICE,6702,2019,30.1,4683,69.9
9240,Uintah County,UT,SALES_OFFICE,3621,954,26.3,2667,73.7
9241,Utah County,UT,SALES_OFFICE,68331,30532,44.7,37799,55.3
9242,Wasatch County,UT,SALES_OFFICE,3438,1394,40.5,2044,59.5
9243,Washington County,UT,SALES_OFFICE,16983,7311,43,9672,57
9244,Wayne County,UT,SALES_OFFICE,231,35,15.2,196,84.8
9245,Weber County,UT,SALES_OFFICE,29268,10721,36.6,18547,63.4
9246,Addison County,VT,SALES_OFFICE,3660,1234,33.7,2426,66.3
9247,Bennington County,VT,SALES_OFFICE,3628,1220,33.6,2408,66.4
9248,Caledonia County,VT,SALES_OFFICE,2705,910,33.6,1795,66.4
9249,Chittenden County,VT,SALES_OFFICE,17980,7091,39.4,10889,60.6
9250,Essex County,VT,SALES_OFFICE,493,125,25.4,368,74.6
9251,Franklin County,VT,SALES_OFFICE,5319,1740,32.7,3579,67.3
9252,Grand Isle County,VT,SALES_OFFICE,819,316,38.6,503,61.4
9253,Lamoille County,VT,SALES_OFFICE,2823,1136,40.2,1687,59.8
9254,Orange County,VT,SALES_OFFICE,2747,872,31.7,1875,68.3
9255,Orleans County,VT,SALES_OFFICE,2603,755,29,1848,71
9256,Rutland County,VT,SALES_OFFICE,6662,2392,35.9,4270,64.1
9257,Washington County,VT,SALES_OFFICE,6198,2294,37,3904,63
9258,Windham County,VT,SALES_OFFICE,4079,1380,33.8,2699,66.2
9259,Windsor County,VT,SALES_OFFICE,5690,2008,35.3,3682,64.7
9260,Accomack County,VA,SALES_OFFICE,2294,722,31.5,1572,68.5
9261,Albemarle County,VA,SALES_OFFICE,9341,3484,37.3,5857,62.7
9262,Alleghany County,VA,SALES_OFFICE,1268,313,24.7,955,75.3
9263,Amelia County,VA,SALES_OFFICE,1346,342,25.4,1004,74.6
9264,Amherst County,VA,SALES_OFFICE,3240,847,26.1,2393,73.9
9265,Appomattox County,VA,SALES_OFFICE,1677,586,34.9,1091,65.1
9266,Arlington County,VA,SALES_OFFICE,19854,8951,45.1,10903,54.9
9267,Augusta County,VA,SALES_OFFICE,8015,2661,33.2,5354,66.8
9268,Bath County,VA,SALES_OFFICE,537,158,29.4,379,70.6
9269,Bedford County,VA,SALES_OFFICE,8669,2849,32.9,5820,67.1
9270,Bland County,VA,SALES_OFFICE,703,200,28.4,503,71.6
9271,Botetourt County,VA,SALES_OFFICE,3277,1165,35.6,2112,64.4
9272,Brunswick County,VA,SALES_OFFICE,1373,311,22.7,1062,77.3
9273,Buchanan County,VA,SALES_OFFICE,1410,398,28.2,1012,71.8
9274,Buckingham County,VA,SALES_OFFICE,1279,413,32.3,866,67.7
9275,Campbell County,VA,SALES_OFFICE,6017,2046,34,3971,66
9276,Caroline County,VA,SALES_OFFICE,3287,1003,30.5,2284,69.5
9277,Carroll County,VA,SALES_OFFICE,2496,963,38.6,1533,61.4
9278,Charles City County,VA,SALES_OFFICE,743,171,23,572,77
9279,Charlotte County,VA,SALES_OFFICE,972,322,33.1,650,66.9
9280,Chesterfield County,VA,SALES_OFFICE,40601,14978,36.9,25623,63.1
9281,Clarke County,VA,SALES_OFFICE,1164,343,29.5,821,70.5
9282,Craig County,VA,SALES_OFFICE,564,83,14.7,481,85.3
9283,Culpeper County,VA,SALES_OFFICE,5204,1501,28.8,3703,71.2
9284,Cumberland County,VA,SALES_OFFICE,1092,280,25.6,812,74.4
9285,Dickenson County,VA,SALES_OFFICE,836,305,36.5,531,63.5
9286,Dinwiddie County,VA,SALES_OFFICE,3002,813,27.1,2189,72.9
9287,Essex County,VA,SALES_OFFICE,1501,334,22.3,1167,77.7
9288,Fairfax County,VA,SALES_OFFICE,106395,44284,41.6,62111,58.4
9289,Fauquier County,VA,SALES_OFFICE,7427,2480,33.4,4947,66.6
9290,Floyd County,VA,SALES_OFFICE,1204,373,31,831,69
9291,Fluvanna County,VA,SALES_OFFICE,2663,819,30.8,1844,69.2
9292,Franklin County,VA,SALES_OFFICE,5541,1795,32.4,3746,67.6
9293,Frederick County,VA,SALES_OFFICE,9240,3220,34.8,6020,65.2
9294,Giles County,VA,SALES_OFFICE,1541,478,31,1063,69
9295,Gloucester County,VA,SALES_OFFICE,3701,1112,30,2589,70
9296,Goochland County,VA,SALES_OFFICE,2522,972,38.5,1550,61.5
9297,Grayson County,VA,SALES_OFFICE,1296,325,25.1,971,74.9
9298,Greene County,VA,SALES_OFFICE,2182,898,41.2,1284,58.8
9299,Greensville County,VA,SALES_OFFICE,790,380,48.1,410,51.9
9300,Halifax County,VA,SALES_OFFICE,2793,670,24,2123,76
9301,Hanover County,VA,SALES_OFFICE,13116,4884,37.2,8232,62.8
9302,Henrico County,VA,SALES_OFFICE,41703,15517,37.2,26186,62.8
9303,Henry County,VA,SALES_OFFICE,4826,1778,36.8,3048,63.2
9304,Highland County,VA,SALES_OFFICE,194,40,20.6,154,79.4
9305,Isle of Wight County,VA,SALES_OFFICE,3284,939,28.6,2345,71.4
9306,James City County,VA,SALES_OFFICE,7149,2340,32.7,4809,67.3
9307,King and Queen County,VA,SALES_OFFICE,507,171,33.7,336,66.3
9308,King George County,VA,SALES_OFFICE,2614,827,31.6,1787,68.4
9309,King William County,VA,SALES_OFFICE,1880,596,31.7,1284,68.3
9310,Lancaster County,VA,SALES_OFFICE,1024,322,31.4,702,68.6
9311,Lee County,VA,SALES_OFFICE,1411,575,40.8,836,59.2
9312,Loudoun County,VA,SALES_OFFICE,38675,16503,42.7,22172,57.3
9313,Louisa County,VA,SALES_OFFICE,3766,1399,37.1,2367,62.9
9314,Lunenburg County,VA,SALES_OFFICE,755,181,24,574,76
9315,Madison County,VA,SALES_OFFICE,1524,549,36,975,64
9316,Mathews County,VA,SALES_OFFICE,861,389,45.2,472,54.8
9317,Mecklenburg County,VA,SALES_OFFICE,2470,731,29.6,1739,70.4
9318,Middlesex County,VA,SALES_OFFICE,1082,358,33.1,724,66.9
9319,Montgomery County,VA,SALES_OFFICE,8488,3630,42.8,4858,57.2
9320,Nelson County,VA,SALES_OFFICE,1381,300,21.7,1081,78.3
9321,New Kent County,VA,SALES_OFFICE,2486,860,34.6,1626,65.4
9322,Northampton County,VA,SALES_OFFICE,1207,294,24.4,913,75.6
9323,Northumberland County,VA,SALES_OFFICE,1032,317,30.7,715,69.3
9324,Nottoway County,VA,SALES_OFFICE,1232,365,29.6,867,70.4
9325,Orange County,VA,SALES_OFFICE,3445,996,28.9,2449,71.1
9326,Page County,VA,SALES_OFFICE,2548,846,33.2,1702,66.8
9327,Patrick County,VA,SALES_OFFICE,1470,426,29,1044,71
9328,Pittsylvania County,VA,SALES_OFFICE,5929,1662,28,4267,72
9329,Powhatan County,VA,SALES_OFFICE,2774,698,25.2,2076,74.8
9330,Prince Edward County,VA,SALES_OFFICE,1920,762,39.7,1158,60.3
9331,Prince George County,VA,SALES_OFFICE,3591,895,24.9,2696,75.1
9332,Prince William County,VA,SALES_OFFICE,49598,19521,39.4,30077,60.6
9333,Pulaski County,VA,SALES_OFFICE,3384,1056,31.2,2328,68.8
9334,Rappahannock County,VA,SALES_OFFICE,638,183,28.7,455,71.3
9335,Richmond County,VA,SALES_OFFICE,663,230,34.7,433,65.3
9336,Roanoke County,VA,SALES_OFFICE,10874,4437,40.8,6437,59.2
9337,Rockbridge County,VA,SALES_OFFICE,2019,570,28.2,1449,71.8
9338,Rockingham County,VA,SALES_OFFICE,8654,3430,39.6,5224,60.4
9339,Russell County,VA,SALES_OFFICE,2253,740,32.8,1513,67.2
9340,Scott County,VA,SALES_OFFICE,1689,537,31.8,1152,68.2
9341,Shenandoah County,VA,SALES_OFFICE,4420,1370,31,3050,69
9342,Smyth County,VA,SALES_OFFICE,2358,705,29.9,1653,70.1
9343,Southampton County,VA,SALES_OFFICE,1654,553,33.4,1101,66.6
9344,Spotsylvania County,VA,SALES_OFFICE,14765,5321,36,9444,64
9345,Stafford County,VA,SALES_OFFICE,14748,5305,36,9443,64
9346,Surry County,VA,SALES_OFFICE,561,123,21.9,438,78.1
9347,Sussex County,VA,SALES_OFFICE,633,157,24.8,476,75.2
9348,Tazewell County,VA,SALES_OFFICE,3386,1062,31.4,2324,68.6
9349,Warren County,VA,SALES_OFFICE,4078,1548,38,2530,62
9350,Washington County,VA,SALES_OFFICE,5177,1711,33.1,3466,66.9
9351,Westmoreland County,VA,SALES_OFFICE,1816,608,33.5,1208,66.5
9352,Wise County,VA,SALES_OFFICE,2895,1229,42.5,1666,57.5
9353,Wythe County,VA,SALES_OFFICE,2568,772,30.1,1796,69.9
9354,York County,VA,SALES_OFFICE,6195,2380,38.4,3815,61.6
9355,Alexandria city,VA,SALES_OFFICE,13995,5346,38.2,8649,61.8
9356,Bristol city,VA,SALES_OFFICE,1669,370,22.2,1299,77.8
9357,Buena Vista city,VA,SALES_OFFICE,350,102,29.1,248,70.9
9358,Charlottesville city,VA,SALES_OFFICE,3970,1517,38.2,2453,61.8
9359,Chesapeake city,VA,SALES_OFFICE,25019,8142,32.5,16877,67.5
9360,Colonial Heights city,VA,SALES_OFFICE,1860,662,35.6,1198,64.4
9361,Covington city,VA,SALES_OFFICE,656,169,25.8,487,74.2
9362,Danville city,VA,SALES_OFFICE,3294,1146,34.8,2148,65.2
9363,Emporia city,VA,SALES_OFFICE,340,124,36.5,216,63.5
9364,Fairfax city,VA,SALES_OFFICE,2362,1096,46.4,1266,53.6
9365,Falls Church city,VA,SALES_OFFICE,1318,593,45,725,55
9366,Franklin city,VA,SALES_OFFICE,823,207,25.2,616,74.8
9367,Fredericksburg city,VA,SALES_OFFICE,2630,942,35.8,1688,64.2
9368,Galax city,VA,SALES_OFFICE,422,62,14.7,360,85.3
9369,Hampton city,VA,SALES_OFFICE,13400,3904,29.1,9496,70.9
9370,Harrisonburg city,VA,SALES_OFFICE,4789,1841,38.4,2948,61.6
9371,Hopewell city,VA,SALES_OFFICE,2374,766,32.3,1608,67.7
9372,Lexington city,VA,SALES_OFFICE,545,129,23.7,416,76.3
9373,Lynchburg city,VA,SALES_OFFICE,7059,2376,33.7,4683,66.3
9374,Manassas city,VA,SALES_OFFICE,4696,1663,35.4,3033,64.6
9375,Manassas Park city,VA,SALES_OFFICE,1581,667,42.2,914,57.8
9376,Martinsville city,VA,SALES_OFFICE,1181,231,19.6,950,80.4
9377,Newport News city,VA,SALES_OFFICE,17977,5054,28.1,12923,71.9
9378,Norfolk city,VA,SALES_OFFICE,22882,7284,31.8,15598,68.2
9379,Norton city,VA,SALES_OFFICE,466,99,21.2,367,78.8
9380,Petersburg city,VA,SALES_OFFICE,2970,784,26.4,2186,73.6
9381,Poquoson city,VA,SALES_OFFICE,971,355,36.6,616,63.4
9382,Portsmouth city,VA,SALES_OFFICE,9420,2542,27,6878,73
9383,Radford city,VA,SALES_OFFICE,1871,699,37.4,1172,62.6
9384,Richmond city,VA,SALES_OFFICE,23146,8223,35.5,14923,64.5
9385,Roanoke city,VA,SALES_OFFICE,10769,3871,35.9,6898,64.1
9386,Salem city,VA,SALES_OFFICE,2660,1052,39.5,1608,60.5
9387,Staunton city,VA,SALES_OFFICE,2612,1003,38.4,1609,61.6
9388,Suffolk city,VA,SALES_OFFICE,8404,2741,32.6,5663,67.4
9389,Virginia Beach city,VA,SALES_OFFICE,53628,19129,35.7,34499,64.3
9390,Waynesboro city,VA,SALES_OFFICE,2543,1026,40.3,1517,59.7
9391,Williamsburg city,VA,SALES_OFFICE,1461,327,22.4,1134,77.6
9392,Winchester city,VA,SALES_OFFICE,2891,843,29.2,2048,70.8
9393,Adams County,WA,SALES_OFFICE,1033,293,28.4,740,71.6
9394,Asotin County,WA,SALES_OFFICE,2512,917,36.5,1595,63.5
9395,Benton County,WA,SALES_OFFICE,16877,5989,35.5,10888,64.5
9396,Chelan County,WA,SALES_OFFICE,6235,2337,37.5,3898,62.5
9397,Clallam County,WA,SALES_OFFICE,6050,2247,37.1,3803,62.9
9398,Clark County,WA,SALES_OFFICE,49964,19738,39.5,30226,60.5
9399,Columbia County,WA,SALES_OFFICE,399,94,23.6,305,76.4
9400,Cowlitz County,WA,SALES_OFFICE,9127,2845,31.2,6282,68.8
9401,Douglas County,WA,SALES_OFFICE,3920,1409,35.9,2511,64.1
9402,Ferry County,WA,SALES_OFFICE,380,126,33.2,254,66.8
9403,Franklin County,WA,SALES_OFFICE,7106,2798,39.4,4308,60.6
9404,Garfield County,WA,SALES_OFFICE,189,40,21.2,149,78.8
9405,Grant County,WA,SALES_OFFICE,5514,1574,28.5,3940,71.5
9406,Grays Harbor County,WA,SALES_OFFICE,5690,1578,27.7,4112,72.3
9407,Island County,WA,SALES_OFFICE,6680,2364,35.4,4316,64.6
9408,Jefferson County,WA,SALES_OFFICE,2365,642,27.1,1723,72.9
9409,King County,WA,SALES_OFFICE,219539,92219,42,127320,58
9410,Kitsap County,WA,SALES_OFFICE,22796,7637,33.5,15159,66.5
9411,Kittitas County,WA,SALES_OFFICE,4710,1311,27.8,3399,72.2
9412,Klickitat County,WA,SALES_OFFICE,1457,483,33.2,974,66.8
9413,Lewis County,WA,SALES_OFFICE,6537,2038,31.2,4499,68.8
9414,Lincoln County,WA,SALES_OFFICE,648,183,28.2,465,71.8
9415,Mason County,WA,SALES_OFFICE,5119,1685,32.9,3434,67.1
9416,Okanogan County,WA,SALES_OFFICE,3317,1120,33.8,2197,66.2
9417,Pacific County,WA,SALES_OFFICE,1530,431,28.2,1099,71.8
9418,Pend Oreille County,WA,SALES_OFFICE,700,171,24.4,529,75.6
9419,Pierce County,WA,SALES_OFFICE,88828,33068,37.2,55760,62.8
9420,San Juan County,WA,SALES_OFFICE,1358,360,26.5,998,73.5
