,COUNTYNAME,STATE,OCCUPATION_LEVEL,TOTALS,MALE,PERCENT_MALE,FEMALE,PERCENT FEMALE
126,Craighead County,AR,MANAGEMENT_BUSINESS_SCIENCE_ARTS,16742,7044,42.1,9698,57.9
127,Crawford County,AR,MANAGEMENT_BUSINESS_SCIENCE_ARTS,7862,3300,42,4562,58
128,Crittenden County,AR,MANAGEMENT_BUSINESS_SCIENCE_ARTS,5990,2328,38.9,3662,61.1
129,Cross County,AR,MANAGEMENT_BUSINESS_SCIENCE_ARTS,1957,767,39.2,1190,60.8
130,Dallas County,AR,MANAGEMENT_BUSINESS_SCIENCE_ARTS,466,117,25.1,349,74.9
131,Desha County,AR,MANAGEMENT_BUSINESS_SCIENCE_ARTS,1218,473,38.8,745,61.2
132,Drew County,AR,MANAGEMENT_BUSINESS_SCIENCE_ARTS,2793,1059,37.9,1734,62.1
133,Faulkner County,AR,MANAGEMENT_BUSINESS_SCIENCE_ARTS,21382,9579,44.8,11803,55.2
134,Franklin County,AR,MANAGEMENT_BUSINESS_SCIENCE_ARTS,1865,747,40.1,1118,59.9
135,Fulton County,AR,MANAGEMENT_BUSINESS_SCIENCE_ARTS,1102,396,35.9,706,64.1
136,Garland County,AR,MANAGEMENT_BUSINESS_SCIENCE_ARTS,12394,5639,45.5,6755,54.5
137,Grant County,AR,MANAGEMENT_BUSINESS_SCIENCE_ARTS,2407,870,36.1,1537,63.9
138,Greene County,AR,MANAGEMENT_BUSINESS_SCIENCE_ARTS,5547,1999,36,3548,64
139,Hempstead County,AR,MANAGEMENT_BUSINESS_SCIENCE_ARTS,2354,828,35.2,1526,64.8
140,Hot Spring County,AR,MANAGEMENT_BUSINESS_SCIENCE_ARTS,3706,1471,39.7,2235,60.3
141,Howard County,AR,MANAGEMENT_BUSINESS_SCIENCE_ARTS,1511,661,43.7,850,56.3
142,Independence County,AR,MANAGEMENT_BUSINESS_SCIENCE_ARTS,4697,2022,43,2675,57
143,Izard County,AR,MANAGEMENT_BUSINESS_SCIENCE_ARTS,1429,547,38.3,882,61.7
144,Jackson County,AR,MANAGEMENT_BUSINESS_SCIENCE_ARTS,1329,712,53.6,617,46.4
145,Jefferson County,AR,MANAGEMENT_BUSINESS_SCIENCE_ARTS,7925,2727,34.4,5198,65.6
146,Johnson County,AR,MANAGEMENT_BUSINESS_SCIENCE_ARTS,2704,1286,47.6,1418,52.4
147,Lafayette County,AR,MANAGEMENT_BUSINESS_SCIENCE_ARTS,735,331,45,404,55
148,Lawrence County,AR,MANAGEMENT_BUSINESS_SCIENCE_ARTS,1860,657,35.3,1203,64.7
149,Lee County,AR,MANAGEMENT_BUSINESS_SCIENCE_ARTS,602,302,50.2,300,49.8
150,Lincoln County,AR,MANAGEMENT_BUSINESS_SCIENCE_ARTS,910,272,29.9,638,70.1
151,Little River County,AR,MANAGEMENT_BUSINESS_SCIENCE_ARTS,1393,284,20.4,1109,79.6
152,Logan County,AR,MANAGEMENT_BUSINESS_SCIENCE_ARTS,2199,836,38,1363,62
153,Lonoke County,AR,MANAGEMENT_BUSINESS_SCIENCE_ARTS,11617,5012,43.1,6605,56.9
154,Madison County,AR,MANAGEMENT_BUSINESS_SCIENCE_ARTS,2032,959,47.2,1073,52.8
155,Marion County,AR,MANAGEMENT_BUSINESS_SCIENCE_ARTS,1526,616,40.4,910,59.6
156,Miller County,AR,MANAGEMENT_BUSINESS_SCIENCE_ARTS,5544,2494,45,3050,55
157,Mississippi County,AR,MANAGEMENT_BUSINESS_SCIENCE_ARTS,4297,1811,42.1,2486,57.9
158,Monroe County,AR,MANAGEMENT_BUSINESS_SCIENCE_ARTS,641,290,45.2,351,54.8
159,Montgomery County,AR,MANAGEMENT_BUSINESS_SCIENCE_ARTS,893,346,38.7,547,61.3
160,Nevada County,AR,MANAGEMENT_BUSINESS_SCIENCE_ARTS,896,213,23.8,683,76.2
161,Newton County,AR,MANAGEMENT_BUSINESS_SCIENCE_ARTS,873,285,32.6,588,67.4
162,Ouachita County,AR,MANAGEMENT_BUSINESS_SCIENCE_ARTS,3122,1159,37.1,1963,62.9
163,Perry County,AR,MANAGEMENT_BUSINESS_SCIENCE_ARTS,1020,447,43.8,573,56.2
164,Phillips County,AR,MANAGEMENT_BUSINESS_SCIENCE_ARTS,1954,685,35.1,1269,64.9
165,Pike County,AR,MANAGEMENT_BUSINESS_SCIENCE_ARTS,1066,446,41.8,620,58.2
166,Poinsett County,AR,MANAGEMENT_BUSINESS_SCIENCE_ARTS,2208,1071,48.5,1137,51.5
167,Polk County,AR,MANAGEMENT_BUSINESS_SCIENCE_ARTS,2053,745,36.3,1308,63.7
168,Pope County,AR,MANAGEMENT_BUSINESS_SCIENCE_ARTS,7917,3467,43.8,4450,56.2
169,Prairie County,AR,MANAGEMENT_BUSINESS_SCIENCE_ARTS,1107,494,44.6,613,55.4
170,Pulaski County,AR,MANAGEMENT_BUSINESS_SCIENCE_ARTS,76919,33180,43.1,43739,56.9
171,Randolph County,AR,MANAGEMENT_BUSINESS_SCIENCE_ARTS,1949,816,41.9,1133,58.1
172,St. Francis County,AR,MANAGEMENT_BUSINESS_SCIENCE_ARTS,2131,949,44.5,1182,55.5
173,Saline County,AR,MANAGEMENT_BUSINESS_SCIENCE_ARTS,20253,8206,40.5,12047,59.5
174,Scott County,AR,MANAGEMENT_BUSINESS_SCIENCE_ARTS,877,199,22.7,678,77.3
175,Searcy County,AR,MANAGEMENT_BUSINESS_SCIENCE_ARTS,776,273,35.2,503,64.8
176,Sebastian County,AR,MANAGEMENT_BUSINESS_SCIENCE_ARTS,17060,7833,45.9,9227,54.1
177,Sevier County,AR,MANAGEMENT_BUSINESS_SCIENCE_ARTS,1615,640,39.6,975,60.4
178,Sharp County,AR,MANAGEMENT_BUSINESS_SCIENCE_ARTS,1599,634,39.6,965,60.4
179,Stone County,AR,MANAGEMENT_BUSINESS_SCIENCE_ARTS,1364,503,36.9,861,63.1
180,Union County,AR,MANAGEMENT_BUSINESS_SCIENCE_ARTS,5152,2099,40.7,3053,59.3
181,Van Buren County,AR,MANAGEMENT_BUSINESS_SCIENCE_ARTS,1634,594,36.4,1040,63.6
182,Washington County,AR,MANAGEMENT_BUSINESS_SCIENCE_ARTS,41626,20424,49.1,21202,50.9
183,White County,AR,MANAGEMENT_BUSINESS_SCIENCE_ARTS,10833,4695,43.3,6138,56.7
184,Woodruff County,AR,MANAGEMENT_BUSINESS_SCIENCE_ARTS,845,432,51.1,413,48.9
185,Yell County,AR,MANAGEMENT_BUSINESS_SCIENCE_ARTS,2176,1039,47.7,1137,52.3
186,Alameda County,CA,MANAGEMENT_BUSINESS_SCIENCE_ARTS,416304,215504,51.8,200800,48.2
187,Alpine County,CA,MANAGEMENT_BUSINESS_SCIENCE_ARTS,114,53,46.5,61,53.5
188,Amador County,CA,MANAGEMENT_BUSINESS_SCIENCE_ARTS,4355,1702,39.1,2653,60.9
189,Butte County,CA,MANAGEMENT_BUSINESS_SCIENCE_ARTS,34326,15703,45.7,18623,54.3
190,Calaveras County,CA,MANAGEMENT_BUSINESS_SCIENCE_ARTS,5753,2696,46.9,3057,53.1
191,Colusa County,CA,MANAGEMENT_BUSINESS_SCIENCE_ARTS,2275,1040,45.7,1235,54.3
192,Contra Costa County,CA,MANAGEMENT_BUSINESS_SCIENCE_ARTS,240244,120958,50.3,119286,49.7
193,Del Norte County,CA,MANAGEMENT_BUSINESS_SCIENCE_ARTS,2893,937,32.4,1956,67.6
194,El Dorado County,CA,MANAGEMENT_BUSINESS_SCIENCE_ARTS,34435,16828,48.9,17607,51.1
195,Fresno County,CA,MANAGEMENT_BUSINESS_SCIENCE_ARTS,118785,54376,45.8,64409,54.2
196,Glenn County,CA,MANAGEMENT_BUSINESS_SCIENCE_ARTS,2459,1136,46.2,1323,53.8
197,Humboldt County,CA,MANAGEMENT_BUSINESS_SCIENCE_ARTS,20699,9338,45.1,11361,54.9
198,Imperial County,CA,MANAGEMENT_BUSINESS_SCIENCE_ARTS,14834,6964,46.9,7870,53.1
199,Inyo County,CA,MANAGEMENT_BUSINESS_SCIENCE_ARTS,2650,1116,42.1,1534,57.9
200,Kern County,CA,MANAGEMENT_BUSINESS_SCIENCE_ARTS,90646,42845,47.3,47801,52.7
201,Kings County,CA,MANAGEMENT_BUSINESS_SCIENCE_ARTS,13114,5877,44.8,7237,55.2
202,Lake County,CA,MANAGEMENT_BUSINESS_SCIENCE_ARTS,6424,2758,42.9,3666,57.1
203,Lassen County,CA,MANAGEMENT_BUSINESS_SCIENCE_ARTS,2562,959,37.4,1603,62.6
204,Los Angeles County,CA,MANAGEMENT_BUSINESS_SCIENCE_ARTS,1801478,910577,50.5,890901,49.5
205,Madera County,CA,MANAGEMENT_BUSINESS_SCIENCE_ARTS,13596,5556,40.9,8040,59.1
206,Marin County,CA,MANAGEMENT_BUSINESS_SCIENCE_ARTS,71865,36670,51,35195,49
207,Mariposa County,CA,MANAGEMENT_BUSINESS_SCIENCE_ARTS,2043,905,44.3,1138,55.7
208,Mendocino County,CA,MANAGEMENT_BUSINESS_SCIENCE_ARTS,12135,5974,49.2,6161,50.8
209,Merced County,CA,MANAGEMENT_BUSINESS_SCIENCE_ARTS,24599,11456,46.6,13143,53.4
210,Modoc County,CA,MANAGEMENT_BUSINESS_SCIENCE_ARTS,1180,476,40.3,704,59.7
211,Mono County,CA,MANAGEMENT_BUSINESS_SCIENCE_ARTS,3167,1904,60.1,1263,39.9
212,Monterey County,CA,MANAGEMENT_BUSINESS_SCIENCE_ARTS,52799,25459,48.2,27340,51.8
213,Napa County,CA,MANAGEMENT_BUSINESS_SCIENCE_ARTS,25676,12215,47.6,13461,52.4
214,Nevada County,CA,MANAGEMENT_BUSINESS_SCIENCE_ARTS,17889,8473,47.4,9416,52.6
215,Orange County,CA,MANAGEMENT_BUSINESS_SCIENCE_ARTS,658308,347407,52.8,310901,47.2
216,Placer County,CA,MANAGEMENT_BUSINESS_SCIENCE_ARTS,77837,38301,49.2,39536,50.8
217,Plumas County,CA,MANAGEMENT_BUSINESS_SCIENCE_ARTS,2614,1156,44.2,1458,55.8
218,Riverside County,CA,MANAGEMENT_BUSINESS_SCIENCE_ARTS,297244,145087,48.8,152157,51.2
219,Sacramento County,CA,MANAGEMENT_BUSINESS_SCIENCE_ARTS,267564,124994,46.7,142570,53.3
220,San Benito County,CA,MANAGEMENT_BUSINESS_SCIENCE_ARTS,8302,3898,47,4404,53
221,San Bernardino County,CA,MANAGEMENT_BUSINESS_SCIENCE_ARTS,259943,118303,45.5,141640,54.5
222,San Diego County,CA,MANAGEMENT_BUSINESS_SCIENCE_ARTS,652475,339656,52.1,312819,47.9
223,San Francisco County,CA,MANAGEMENT_BUSINESS_SCIENCE_ARTS,290413,154000,53,136413,47
224,San Joaquin County,CA,MANAGEMENT_BUSINESS_SCIENCE_ARTS,84675,39626,46.8,45049,53.2
225,San Luis Obispo County,CA,MANAGEMENT_BUSINESS_SCIENCE_ARTS,50946,26143,51.3,24803,48.7
226,San Mateo County,CA,MANAGEMENT_BUSINESS_SCIENCE_ARTS,198720,102371,51.5,96349,48.5
227,Santa Barbara County,CA,MANAGEMENT_BUSINESS_SCIENCE_ARTS,75445,38807,51.4,36638,48.6
228,Santa Clara County,CA,MANAGEMENT_BUSINESS_SCIENCE_ARTS,523343,298530,57,224813,43
229,Santa Cruz County,CA,MANAGEMENT_BUSINESS_SCIENCE_ARTS,55912,27606,49.4,28306,50.6
230,Shasta County,CA,MANAGEMENT_BUSINESS_SCIENCE_ARTS,23611,10166,43.1,13445,56.9
231,Sierra County,CA,MANAGEMENT_BUSINESS_SCIENCE_ARTS,346,147,42.5,199,57.5
232,Siskiyou County,CA,MANAGEMENT_BUSINESS_SCIENCE_ARTS,5545,2170,39.1,3375,60.9
233,Solano County,CA,MANAGEMENT_BUSINESS_SCIENCE_ARTS,67085,29858,44.5,37227,55.5
234,Sonoma County,CA,MANAGEMENT_BUSINESS_SCIENCE_ARTS,95082,43836,46.1,51246,53.9
235,Stanislaus County,CA,MANAGEMENT_BUSINESS_SCIENCE_ARTS,61960,27806,44.9,34154,55.1
236,Sutter County,CA,MANAGEMENT_BUSINESS_SCIENCE_ARTS,11579,5556,48,6023,52
237,Tehama County,CA,MANAGEMENT_BUSINESS_SCIENCE_ARTS,6065,2401,39.6,3664,60.4
238,Trinity County,CA,MANAGEMENT_BUSINESS_SCIENCE_ARTS,1379,662,48,717,52
239,Tulare County,CA,MANAGEMENT_BUSINESS_SCIENCE_ARTS,45513,20917,46,24596,54
240,Tuolumne County,CA,MANAGEMENT_BUSINESS_SCIENCE_ARTS,6893,3057,44.3,3836,55.7
241,Ventura County,CA,MANAGEMENT_BUSINESS_SCIENCE_ARTS,156980,78099,49.8,78881,50.2
242,Yolo County,CA,MANAGEMENT_BUSINESS_SCIENCE_ARTS,43675,20489,46.9,23186,53.1
243,Yuba County,CA,MANAGEMENT_BUSINESS_SCIENCE_ARTS,7773,3568,45.9,4205,54.1
244,Adams County,CO,MANAGEMENT_BUSINESS_SCIENCE_ARTS,76952,36608,47.6,40344,52.4
245,Alamosa County,CO,MANAGEMENT_BUSINESS_SCIENCE_ARTS,2082,682,32.8,1400,67.2
246,Arapahoe County,CO,MANAGEMENT_BUSINESS_SCIENCE_ARTS,143083,71138,49.7,71945,50.3
247,Archuleta County,CO,MANAGEMENT_BUSINESS_SCIENCE_ARTS,2023,909,44.9,1114,55.1
