,COUNTYNAME,STATE,Total_POPULATION,TOTAL_NATIVE,TOTAL_FOREIGN_BORN_NATURALIZED_CITIZEN,TOTAL_FOREIGN_BORN_NOT_US_CITIZEN
1252,Hatillo Municipio,PR,38713,38487,158,68
1253,Hawaii County,HI,185632,162294,11561,11777
1254,Hawkins County,TN,53573,52955,199,419
1255,Hayes County,NE,878,826,19,33
1256,Hays County,TX,191408,173624,5943,11841
1257,Haywood County,NC,57570,56031,699,840
1258,Haywood County,TN,16733,16433,164,136
1259,Heard County,GA,11030,10806,73,151
1260,Hemphill County,TX,3801,3172,88,541
1261,Hempstead County,AR,20409,19213,250,946
1262,Henderson County,IL,6554,6466,44,44
1263,Henderson County,KY,43343,42717,301,325
1264,Henderson County,NC,108096,99859,3331,4906
1265,Henderson County,TN,26360,26014,59,287
1266,Henderson County,TX,75923,71488,1081,3354
1267,Hendricks County,IN,151260,143382,4579,3299
1268,Hendry County,FL,37287,26261,3375,7651
1269,Hennepin County,MN,1154740,982924,85108,86708
1270,Henrico County,VA,305519,264586,20039,20894
1271,Henry County,AL,16191,16006,44,141
1272,Henry County,GA,208402,191498,10787,6117
1273,Henry County,IA,18786,18045,445,296
1274,Henry County,IL,46723,45738,468,517
1275,Henry County,IN,46093,45729,168,196
1276,Henry County,KY,14885,14617,135,133
1277,Henry County,MO,20523,20179,162,182
1278,Henry County,OH,25715,25299,223,193
1279,Henry County,TN,30580,30159,301,120
1280,Henry County,VA,49149,47653,508,988
1281,Herkimer County,NY,59291,57618,1207,466
1282,Hernando County,FL,174473,161831,9016,3626
1283,Hertford County,NC,23043,22245,263,535
1284,Hettinger County,ND,2417,2388,9,20
1285,Hickman County,KY,4342,4299,31,12
1286,Hickman County,TN,23322,23015,130,177
1287,Hickory County,MO,8959,8890,67,2
1288,Hidalgo County,NM,4115,3805,146,164
1289,Hidalgo County,TX,769339,540242,62656,166441
1290,Highland County,OH,40256,39873,210,173
1291,Highland County,VA,2125,2117,8,0
1292,Highlands County,FL,97266,86148,4403,6715
1293,Hill County,MT,15012,14778,122,112
1294,Hill County,TX,33286,30677,998,1611
1295,Hillsborough County,FL,1291849,1059088,115121,117640
1296,Hillsborough County,NH,389409,350897,21327,17185
1297,Hillsdale County,MI,43128,42602,267,259
1298,Hinds County,MS,225840,221530,1742,2568
1299,Hinsdale County,CO,840,828,9,3
1300,Hitchcock County,NE,2684,2671,2,11
1301,Hocking County,OH,26869,26675,100,94
1302,Hockley County,TX,21604,19802,638,1164
1303,Hodgeman County,KS,1718,1632,11,75
1304,Hoke County,NC,48585,45449,1096,2040
1305,Holmes County,FL,18532,18047,94,391
1306,Holmes County,MS,16873,16863,6,4
1307,Holmes County,OH,40203,39985,145,73
1308,Holt County,MO,4203,4165,28,10
1309,Holt County,NE,9572,9269,168,135
1310,Honolulu County,HI,923764,732117,114838,76809
1311,Hood County,TX,53792,52359,748,685
1312,Hood River County,OR,21649,17966,1037,2646
1313,Hooker County,NE,659,658,1,0
1314,Hoonah-Angoon Census Area,AK,2030,1891,48,91
1315,Hopewell city,VA,20736,19878,364,494
1316,Hopkins County,KY,42949,42380,319,250
1317,Hopkins County,TX,33920,31297,876,1747
1318,Hormigueros Municipio,PR,15582,15396,128,58
1319,Horry County,SC,305089,285566,8462,11061
1320,Hot Spring County,AR,31846,31399,155,292
1321,Hot Springs County,WY,4435,4421,3,11
1322,Houghton County,MI,34474,32775,484,1215
1323,Houston County,AL,98012,95653,1124,1235
1324,Houston County,GA,141443,133377,3983,4083
1325,Houston County,MN,17642,17474,102,66
1326,Houston County,TN,7771,7680,51,40
1327,Houston County,TX,21774,21076,262,436
1328,Howard County,AR,12459,11683,161,615
1329,Howard County,IA,8675,8655,9,11
1330,Howard County,IN,77373,75526,907,940
1331,Howard County,MD,296550,230216,40271,26063
1332,Howard County,MO,9489,9410,43,36
1333,Howard County,NE,6023,5921,64,38
1334,Howard County,TX,34358,29894,836,3628
1335,Howell County,MO,37630,37177,182,271
1336,Hubbard County,MN,19707,19413,127,167
1337,Hudson County,NJ,621585,338125,135885,147575
1338,Hudspeth County,TX,3891,2381,231,1279
1339,Huerfano County,CO,6418,6232,85,101
1340,Hughes County,OK,12733,12567,75,91
1341,Hughes County,SD,16353,16151,43,159
1342,Humacao Municipio,PR,50955,50267,370,318
1343,Humboldt County,CA,128404,121018,2978,4408
1344,Humboldt County,IA,9014,8766,51,197
1345,Humboldt County,NV,15665,13680,770,1215
1346,Humphreys County,MS,8006,7855,43,108
1347,Humphreys County,TN,17397,17113,114,170
1348,Hunt County,TX,86348,80357,2005,3986
1349,Hunterdon County,NJ,120069,108861,6621,4587
1350,Huntingdon County,PA,43388,42728,228,432
1351,Huntington County,IN,34317,33780,181,356
1352,Huron County,MI,29972,29503,228,241
1353,Huron County,OH,54806,53571,418,817
1354,Hutchinson County,SD,6736,6691,10,35
1355,Hutchinson County,TX,20147,19149,484,514
1356,Hyde County,NC,5113,4874,63,176
1357,Hyde County,SD,1232,1219,9,4
1358,Iberia Parish,LA,67418,64691,1085,1642
1359,Iberville Parish,LA,31054,30799,123,132
1360,Ida County,IA,6514,6421,40,53
1361,Idaho County,ID,15568,15343,162,63
1362,Imperial County,CA,165124,109229,27799,28096
1363,Independence County,AR,34859,33722,379,758
1364,Indian River County,FL,144537,129452,7882,7203
1365,Indiana County,PA,81694,80276,589,829
1366,Ingham County,MI,273218,246198,10306,16714
1367,Inyo County,CA,17074,15416,861,797
1368,Ionia County,MI,60498,59519,519,460
1369,Iosco County,MI,24162,23589,267,306
1370,Iowa County,IA,15241,15089,89,63
1371,Iowa County,WI,22280,21851,219,210
1372,Iredell County,NC,162912,152081,3878,6953
1373,Irion County,TX,1464,1405,56,3
1374,Iron County,MI,10793,10622,88,83
1375,Iron County,MO,9700,9590,99,11
1376,Iron County,UT,45581,43390,793,1398
1377,Iron County,WI,5558,5488,47,23
1378,Iroquois County,IL,26681,25776,379,526
1379,Irwin County,GA,8849,8759,63,27
1380,Isabela Municipio,PR,40649,40104,169,376
1381,Isabella County,MI,67436,65043,893,1500
1382,Isanti County,MN,36643,36038,409,196
1383,Island County,WA,77019,71228,3741,2050
1384,Isle of Wight County,VA,34507,33427,506,574
1385,Issaquena County,MS,1235,1230,5,0
1386,Itasca County,MN,42836,42361,316,159
1387,Itawamba County,MS,22218,22010,69,139
1388,Izard County,AR,12894,12642,72,180
1389,Jack County,TX,8349,7826,133,390
1390,Jackson County,AL,49301,48402,451,448
1391,Jackson County,AR,16252,16160,55,37
1392,Jackson County,CO,1213,1130,36,47
1393,Jackson County,FL,46101,44653,518,930
1394,Jackson County,GA,61493,57910,1626,1957
1395,Jackson County,IA,18236,18034,133,69
1396,Jackson County,IL,55533,52300,1008,2225
1397,Jackson County,IN,41012,38987,576,1449
1398,Jackson County,KS,12473,12276,126,71
1399,Jackson County,KY,12532,12532,0,0
1400,Jackson County,MI,149932,147138,1348,1446
1401,Jackson County,MN,9439,9158,133,148
1402,Jackson County,MO,645329,605277,16867,23185
1403,Jackson County,MS,133916,128969,2362,2585
1404,Jackson County,NC,40306,39039,330,937
1405,Jackson County,OH,30471,30228,99,144
1406,Jackson County,OK,23331,21723,703,905
1407,Jackson County,OR,202399,189448,5460,7491
1408,Jackson County,SD,2914,2900,5,9
1409,Jackson County,TN,11112,11009,42,61
1410,Jackson County,TX,13767,12392,252,1123
1411,Jackson County,WI,19273,18830,182,261
1412,Jackson County,WV,27407,27221,96,90
1413,Jackson Parish,LA,14989,14782,70,137
1414,James City County,VA,70531,65830,2794,1907
1415,Jasper County,GA,12997,12726,102,169
1416,Jasper County,IA,34707,34174,362,171
1417,Jasper County,IL,9015,8889,10,116
1418,Jasper County,IN,31506,30656,364,486
1419,Jasper County,MO,110873,106027,1556,3290
1420,Jasper County,MS,15488,15449,39,0
1421,Jasper County,SC,26229,23784,491,1954
1422,Jasper County,TX,33385,32437,388,560
1423,Jay County,IN,19496,19283,97,116
1424,Jayuya Municipio,PR,14110,14078,15,17
1425,Jeff Davis County,GA,13964,13278,285,401
1426,Jeff Davis County,TX,2173,1840,129,204
1427,Jefferson County,AL,617355,590995,8948,17412
1428,Jefferson County,AR,66151,65045,416,690
1429,Jefferson County,CO,540436,503163,19663,17610
1430,Jefferson County,FL,13494,12945,161,388
1431,Jefferson County,GA,14741,14358,142,241
1432,Jefferson County,IA,16864,14852,309,1703
1433,Jefferson County,ID,25510,24413,291,806
1434,Jefferson County,IL,35777,35075,433,269
1435,Jefferson County,IN,30326,29962,189,175
1436,Jefferson County,KS,17887,17760,70,57
1437,Jefferson County,KY,718284,662237,24932,31115
1438,Jefferson County,MO,209890,205791,2539,1560
1439,Jefferson County,MS,6888,6841,30,17
1440,Jefferson County,MT,11301,11230,39,32
1441,Jefferson County,NE,6775,6664,61,50
1442,Jefferson County,NY,105370,101052,2344,1974
1443,Jefferson County,OH,63569,62692,624,253
1444,Jefferson County,OK,5824,5660,105,59
1445,Jefferson County,OR,21689,20206,606,877
1446,Jefferson County,PA,41598,41331,176,91
1447,Jefferson County,TN,50690,49377,292,1021
1448,Jefferson County,TX,237615,207114,10630,19871
1449,Jefferson County,WA,29848,28185,1032,631
1450,Jefferson County,WI,80296,77137,1279,1880
1451,Jefferson County,WV,53078,50304,1726,1048
1452,Jefferson Davis County,MS,10953,10911,42,0
1453,Jefferson Davis Parish,LA,29272,29031,152,89
1454,Jefferson Parish,LA,407253,351392,22471,33390
1455,Jenkins County,GA,8205,7785,169,251
1456,Jennings County,IN,26011,25639,109,263
1457,Jerauld County,SD,1928,1870,15,43
1458,Jerome County,ID,21392,17762,622,3008
1459,Jersey County,IL,21037,20741,125,171
1460,Jessamine County,KY,48985,46308,1104,1573
1461,Jewell County,KS,2759,2710,34,15
1462,Jim Hogg County,TX,4870,4661,36,173
1463,Jim Wells County,TX,38151,35700,871,1580
1464,Jo Daviess County,IL,20911,20393,251,267
1465,Johnson County,AR,24589,22150,662,1777
1466,Johnson County,GA,9194,9115,71,8
1467,Johnson County,IA,138109,121299,5207,11603
1468,Johnson County,IL,11999,11786,81,132
1469,Johnson County,IN,141716,135293,3098,3325
1470,Johnson County,KS,547388,496744,23761,26883
1471,Johnson County,KY,21479,21252,80,147
1472,Johnson County,MO,50243,48721,648,874
1473,Johnson County,NE,4964,4773,53,138
1474,Johnson County,TN,17069,16770,116,183
1475,Johnson County,TX,152703,144864,2761,5078
1476,Johnson County,WY,8084,7984,64,36
1477,Johnston County,NC,178855,164415,3722,10718
1478,Johnston County,OK,10364,10283,32,49
1479,Jones County,GA,27066,26779,157,130
1480,Jones County,IA,19506,19147,156,203
1481,Jones County,MS,63580,61721,284,1575
1482,Jones County,NC,9262,8982,23,257
1483,Jones County,SD,723,717,0,6
1484,Jones County,TX,19003,18294,173,536
1485,Josephine County,OR,81245,77698,1514,2033
1486,Juab County,UT,9987,9765,37,185
1487,Judith Basin County,MT,1865,1845,14,6
1488,Juncos Municipio,PR,37184,37043,31,110
1489,Juneau City and Borough,AK,30429,27551,1629,1249
1490,Juneau County,WI,25060,24537,326,197
1491,Juniata County,PA,23162,22619,256,287
1492,Kalamazoo County,MI,245727,232923,5716,7088
1493,Kalawao County,HI,71,69,2,0
1494,Kalkaska County,MI,16583,16301,101,181
1495,Kanabec County,MN,15167,15006,103,58
1496,Kanawha County,WV,175620,172157,2216,1247
1497,Kandiyohi County,MN,39767,36268,1114,2385
1498,Kane County,IL,496219,402710,39337,54172
1499,Kane County,UT,6934,6730,182,22
1500,Kankakee County,IL,104441,99050,2270,3121
1501,Karnes County,TX,14535,13364,222,949
1502,Kauai County,HI,66961,54663,6885,5413
1503,Kaufman County,TX,110365,100602,3044,6719
1504,Kay County,OK,41849,40615,467,767
1505,Kearney County,NE,6139,5953,57,129
1506,Kearny County,KS,3639,3131,182,326
1507,Keith County,NE,7740,7535,118,87
1508,Kemper County,MS,9670,9670,0,0
1509,Kenai Peninsula Borough,AK,54568,52766,1072,730
1510,Kendall County,IL,115745,104187,6672,4886
1511,Kendall County,TX,39844,37365,798,1681
1512,Kenedy County,TX,510,411,41,58
1513,Kennebec County,ME,115516,112604,1585,1327
1514,Kenosha County,WI,158447,147859,5740,4848
1515,Kent County,DE,163831,153969,5002,4860
1516,Kent County,MD,18801,17967,216,618
1517,Kent County,MI,599069,545988,21109,31972
1518,Kent County,RI,155812,145819,6747,3246
1519,Kent County,TX,716,698,18,0
1520,Kenton County,KY,153559,148543,2083,2933
1521,Keokuk County,IA,9592,9484,40,68
1522,Kern County,CA,811880,636322,59931,115627
1523,Kerr County,TX,48738,45164,1271,2303
1524,Kershaw County,SC,60790,59375,864,551
1525,Ketchikan Gateway Borough,AK,12964,11805,680,479
1526,Kewaunee County,WI,19296,18886,113,297
1527,Keweenaw County,MI,2042,2017,9,16
1528,Keya Paha County,NE,742,738,4,0
1529,Kidder County,ND,2311,2270,26,15
1530,Kimball County,NE,3472,3433,21,18
1531,Kimble County,TX,4138,3877,112,149
1532,King County,TX,211,202,2,7
1533,King County,WA,2034605,1553127,231748,249730
1534,King George County,VA,24285,23643,370,272
1535,King William County,VA,15534,15189,263,82
1536,King and Queen County,VA,6720,6532,49,139
1537,Kingfisher County,OK,14510,13353,253,904
1538,Kingman County,KS,7095,7003,21,71
1539,Kings County,CA,138436,111411,9723,17302
1540,Kings County,NY,2407004,1463532,568291,375181
1541,Kingsbury County,SD,4655,4634,7,14
1542,Kinney County,TX,3588,2950,183,455
1543,Kiowa County,CO,1296,1289,3,4
1544,Kiowa County,KS,2362,2238,31,93
1545,Kiowa County,OK,8432,8253,76,103
1546,Kit Carson County,CO,7246,6647,108,491
1547,Kitsap County,WA,247315,230484,10952,5879
1548,Kittitas County,WA,42689,40322,1037,1330
1549,Kittson County,MN,4087,3977,73,37
1550,Klamath County,OR,62225,58646,1560,2019
1551,Kleberg County,TX,29203,27329,827,1047
1552,Klickitat County,WA,20298,18734,454,1110
1553,Knott County,KY,14674,14579,38,57
1554,Knox County,IL,48249,46759,460,1030
1555,Knox County,IN,35217,34830,214,173
1556,Knox County,KY,29465,29060,173,232
1557,Knox County,ME,38052,36956,520,576
1558,Knox County,MO,3721,3691,4,26
1559,Knox County,NE,7926,7808,85,33
1560,Knox County,OH,57599,56854,386,359
1561,Knox County,TN,429889,407656,9330,12903
1562,Knox County,TX,3454,3186,77,191
1563,Kodiak Island Borough,AK,12572,9930,1083,1559
1564,Koochiching County,MN,12122,11387,434,301
1565,Kootenai County,ID,144389,140858,2265,1266
1566,Kosciusko County,IN,73728,70175,1461,2092
1567,Kossuth County,IA,14229,14036,80,113
1568,La Crosse County,WI,111707,108288,2424,995
1569,La Paz County,AZ,19740,17472,708,1560
1570,La Plata County,CO,52256,50705,857,694
1571,La Salle County,TX,6901,6279,132,490
1572,LaGrange County,IN,35368,34661,197,510
1573,LaMoure County,ND,3914,3840,38,36
1574,LaPorte County,IN,103945,100166,2129,1650
1575,LaSalle County,IL,104275,100316,1905,2054
1576,Labette County,KS,19007,18856,90,61
1577,Lac qui Parle County,MN,6459,6281,81,97
1578,Lackawanna County,PA,200251,188751,5241,6259
1579,Laclede County,MO,33185,32829,196,160
1580,Lafayette County,AR,6541,6432,21,88
1581,Lafayette County,FL,8201,7754,122,325
1582,Lafayette County,MO,30792,30344,273,175
1583,Lafayette County,MS,50679,48817,591,1271
1584,Lafayette County,WI,15645,15248,122,275
1585,Lafayette Parish,LA,223437,213442,3527,6468
1586,Lafourche Parish,LA,91859,88854,949,2056
1587,Lajas Municipio,PR,22348,22137,128,83
1588,Lake County,CA,60465,54822,2480,3163
1589,Lake County,CO,7261,6609,115,537
1590,Lake County,FL,318700,289130,18159,11411
1591,Lake County,IL,662374,531916,65232,65226
1592,Lake County,IN,457149,423670,19305,14174
1593,Lake County,MI,11271,11091,86,94
1594,Lake County,MN,10074,9870,152,52
1595,Lake County,MT,27901,27313,296,292
1596,Lake County,OH,218570,206252,7274,5044
1597,Lake County,OR,7434,7192,141,101
1598,Lake County,SD,11804,11615,80,109
1599,Lake County,TN,7219,7168,26,25
1600,Lake and Peninsula Borough,AK,1278,1239,22,17
1601,Lake of the Woods County,MN,3633,3583,17,33
1602,Lamar County,AL,13234,13148,18,68
1603,Lamar County,GA,17499,17029,264,206
1604,Lamar County,MS,57262,55601,888,773
1605,Lamar County,TX,46205,44116,806,1283
1606,Lamb County,TX,12292,10939,417,936
1607,Lamoille County,VT,23938,23150,275,513
1608,Lampasas County,TX,19504,18632,340,532
1609,Lancaster County,NE,289856,266134,10964,12758
1610,Lancaster County,PA,503129,476430,14600,12099
1611,Lancaster County,SC,84193,80642,1928,1623
1612,Lancaster County,VA,10365,10052,170,143
1613,Lander County,NV,5303,4719,245,339
1614,Lane County,KS,1514,1488,15,11
1615,Lane County,OR,350505,328633,9183,12689
1616,Langlade County,WI,18256,17858,158,240
1617,Lanier County,GA,9651,9498,116,37
1618,Lapeer County,MI,83858,81643,948,1267
1619,Laramie County,WY,91460,88329,1454,1677
1620,Lares Municipio,PR,25185,25130,55,0
1621,Larimer County,CO,320425,302035,8333,10057
1622,Larue County,KY,13417,13095,82,240
1623,Las Animas County,CO,13557,12782,234,541
1624,Las Piedras Municipio,PR,36065,35817,41,207
1625,Lassen County,CA,29801,28177,506,1118
1626,Latah County,ID,37102,34667,871,1564
1627,Latimer County,OK,9907,9766,90,51
1628,Lauderdale County,AL,87849,85962,668,1219
1629,Lauderdale County,MS,72535,70984,567,984
1630,Lauderdale County,TN,24814,24312,138,364
1631,Laurel County,KY,56543,56223,287,33
1632,Laurens County,GA,44257,43567,452,238
1633,Laurens County,SC,62890,61224,544,1122
1634,Lavaca County,TX,18752,17837,167,748
1635,Lawrence County,AL,31316,30992,104,220
1636,Lawrence County,AR,15753,15606,24,123
1637,Lawrence County,IL,15349,15050,60,239
1638,Lawrence County,IN,43126,42542,313,271
1639,Lawrence County,KY,14772,14576,47,149
1640,Lawrence County,MO,35612,34455,218,939
1641,Lawrence County,MS,11842,11800,6,36
1642,Lawrence County,OH,57121,56634,213,274
1643,Lawrence County,PA,82934,81572,890,472
1644,Lawrence County,SD,24144,23505,225,414
1645,Lawrence County,TN,40057,39656,179,222
1646,Le Flore County,OK,46797,45099,349,1349
1647,Le Sueur County,MN,26274,25486,257,531
1648,Lea County,NM,64633,53215,3069,8349
1649,Leake County,MS,21475,21026,23,426
1650,Leavenworth County,KS,74912,72714,1122,1076
1651,Lebanon County,PA,130249,124752,2931,2566
1652,Lee County,AL,149856,141196,2693,5967
1653,Lee County,AR,8912,8825,13,74
1654,Lee County,FL,684801,565952,55721,63128
1655,Lee County,GA,27553,26494,771,288
1656,Lee County,IA,32467,32113,154,200
1657,Lee County,IL,32785,31832,466,487
1658,Lee County,KY,6395,6337,6,52
1659,Lee County,MS,79100,77446,362,1292
1660,Lee County,NC,56244,50116,2285,3843
1661,Lee County,SC,16703,16553,99,51
1662,Lee County,TX,16039,14652,363,1024
1663,Lee County,VA,23011,22726,103,182
1664,Leelanau County,MI,20754,20122,313,319
1665,Leflore County,MS,27557,27023,78,456
1666,Lehigh County,PA,341159,299890,23420,17849
1667,Lemhi County,ID,7427,7189,122,116
1668,Lenawee County,MI,93191,91104,870,1217
1669,Lenoir County,NC,53949,51476,661,1812
1670,Leon County,FL,273145,253675,9980,9490
1671,Leon County,TX,16023,14974,283,766
1672,Leslie County,KY,9862,9832,22,8
1673,Letcher County,KY,21347,21246,46,55
1674,Levy County,FL,37949,36326,812,811
1675,Lewis County,ID,3635,3558,40,37
1676,Lewis County,KY,12739,12649,54,36
1677,Lewis County,MO,9483,9394,18,71
1678,Lewis County,NY,25058,24639,126,293
1679,Lewis County,TN,11299,11199,100,0
1680,Lewis County,WA,72489,68790,1177,2522
1681,Lewis County,WV,15209,15064,32,113
1682,Lewis and Clark County,MT,63135,62187,548,400
1683,Lexington County,SC,269321,255027,5439,8855
1684,Lexington city,VA,6956,6641,187,128
1685,Liberty County,FL,7990,7568,224,198
1686,Liberty County,GA,55810,52360,1998,1452
1687,Liberty County,MT,2155,2143,12,0
1688,Liberty County,TX,76147,69683,1854,4610
1689,Licking County,OH,161900,157947,2257,1696
1690,Limestone County,AL,87829,84400,1402,2027
1691,Limestone County,TX,22007,19611,660,1736
1692,Lincoln County,AR,13149,12895,30,224
1693,Lincoln County,CO,5243,4976,28,239
1694,Lincoln County,GA,7419,7326,56,37
1695,Lincoln County,ID,4959,4206,100,653
1696,Lincoln County,KS,2941,2925,3,13
1697,Lincoln County,KY,22832,22639,33,160
1698,Lincoln County,ME,32728,31699,642,387
1699,Lincoln County,MN,5358,5320,31,7
1700,Lincoln County,MO,51799,51020,507,272
1701,Lincoln County,MS,32254,32105,51,98
1702,Lincoln County,MT,18538,18043,216,279
1703,Lincoln County,NC,77327,73422,1780,2125
1704,Lincoln County,NE,33346,32713,357,276
1705,Lincoln County,NM,18646,16948,791,907
1706,Lincoln County,NV,4978,4815,70,93
1707,Lincoln County,OK,32750,32400,192,158
1708,Lincoln County,OR,45600,43203,1082,1315
1709,Lincoln County,SD,50662,49301,670,691
1710,Lincoln County,TN,31998,31459,137,402
1711,Lincoln County,WA,9917,9746,81,90
1712,Lincoln County,WI,26593,26338,136,119
1713,Lincoln County,WV,19837,19762,10,65
1714,Lincoln County,WY,17670,17263,133,274
1715,Lincoln Parish,LA,44603,42446,559,1598
1716,Linn County,IA,208079,199087,3646,5346
1717,Linn County,KS,9089,9044,25,20
1718,Linn County,MO,11466,11387,38,41
1719,Linn County,OR,115447,109842,2184,3421
1720,Lipscomb County,TX,3201,2795,32,374
1721,Litchfield County,CT,175475,161074,7952,6449
1722,Little River County,AR,11693,11656,23,14
1723,Live Oak County,TX,11468,10646,137,685
1724,Livingston County,IL,34345,33602,278,465
1725,Livingston County,KY,8699,8671,28,0
1726,Livingston County,MI,178908,173590,3501,1817
1727,Livingston County,MO,14164,14060,24,80
1728,Livingston County,NY,61103,58930,1084,1089
1729,Livingston Parish,LA,128555,125438,1398,1719
1730,Llano County,TX,19844,18994,259,591
1731,Logan County,AR,20497,20105,91,301
1732,Logan County,CO,19976,19094,161,721
1733,Logan County,IL,27642,27205,176,261
1734,Logan County,KS,2620,2564,20,36
1735,Logan County,KY,25134,24839,165,130
1736,Logan County,ND,1800,1785,7,8
1737,Logan County,NE,835,814,6,15
1738,Logan County,OH,42554,41990,293,271
1739,Logan County,OK,43253,41898,603,752
1740,Logan County,WV,31866,31779,65,22
1741,Long County,GA,16733,15566,239,928
1742,Lonoke County,AR,67273,65735,723,815
1743,Lorain County,OH,289250,280284,5543,3423
1744,Los Alamos County,NM,17403,15704,1049,650
1745,Los Angeles County,CA,9473307,6031227,1780980,1661100
1746,Loudon County,TN,48915,45171,1173,2571
1747,Loudoun County,VA,356697,263905,53078,39714
1748,Louisa County,IA,10608,9495,254,859
1749,Louisa County,VA,33451,32272,601,578
1750,Loup County,NE,555,555,0,0
1751,Love County,OK,9313,8770,171,372
1752,Loving County,TX,83,67,0,16
1753,Lowndes County,AL,9602,9570,17,15
1754,Lowndes County,GA,106440,101742,2069,2629
1755,Lowndes County,MS,55441,54194,623,624
1756,Lubbock County,TX,281017,263121,6787,11109
1757,Lucas County,IA,8093,7830,116,147
1758,Lucas County,OH,404607,388203,9017,7387
1759,Luce County,MI,6108,6001,37,70
1760,Lumpkin County,GA,30582,29459,417,706
1761,Luna County,NM,22467,18033,1478,2956
1762,Lunenburg County,VA,11679,10962,375,342
1763,Luquillo Municipio,PR,17717,17311,205,201
1764,Luzerne County,PA,301754,281777,9363,10614
1765,Lycoming County,PA,108544,106500,1128,916
1766,Lyman County,SD,3535,3509,25,1
1767,Lynchburg city,VA,75240,70583,1570,3087
1768,Lynn County,TX,5415,5089,104,222
1769,Lyon County,IA,10892,10724,36,132
1770,Lyon County,KS,31304,27994,1024,2286
1771,Lyon County,KY,7914,7695,54,165
1772,Lyon County,MN,23958,22199,656,1103
1773,Lyon County,NV,50195,46577,1549,2069
1774,Mackinac County,MI,10423,10129,94,200
1775,Macomb County,MI,821027,726463,60829,33735
1776,Macon County,AL,18118,17917,82,119
1777,Macon County,GA,12795,12543,116,136
1778,Macon County,IL,99959,97782,1132,1045
1779,Macon County,MO,14332,14207,17,108
1780,Macon County,NC,32727,30956,530,1241
1781,Macon County,TN,21802,21110,139,553
1782,Macoupin County,IL,43447,43072,253,122
1783,Madera County,CA,143206,111440,9621,22145
1784,Madison County,AL,336658,317182,9658,9818
1785,Madison County,AR,15045,14479,248,318
1786,Madison County,FL,17553,16799,268,486
1787,Madison County,GA,27212,26070,532,610
1788,Madison County,IA,14951,14758,74,119
1789,Madison County,ID,34846,33290,534,1022
1790,Madison County,IL,250154,244140,3232,2782
1791,Madison County,IN,122029,119615,887,1527
1792,Madison County,KY,84564,82240,894,1430
1793,Madison County,MO,11527,11442,35,50
1794,Madison County,MS,96884,92858,1703,2323
1795,Madison County,MT,7896,7552,42,302
1796,Madison County,NC,20449,20041,187,221
1797,Madison County,NE,32596,30085,868,1643
1798,Madison County,NY,68040,66215,1052,773
1799,Madison County,OH,41757,41046,218,493
1800,Madison County,TN,91560,88680,1190,1690
1801,Madison County,TX,13480,12140,219,1121
1802,Madison County,VA,12601,12287,167,147
1803,Madison Parish,LA,10643,10562,73,8
1804,Magoffin County,KY,11894,11874,0,20
1805,Mahaska County,IA,20748,20315,205,228
1806,Mahnomen County,MN,5046,5000,32,14
1807,Mahoning County,OH,219055,213489,3490,2076
1808,Major County,OK,7191,6764,181,246
1809,Malheur County,OR,28345,25345,779,2221
1810,Manassas Park city,VA,15488,9867,2559,3062
1811,Manassas city,VA,37959,27192,4233,6534
1812,Manatee County,FL,355663,308717,20919,26027
1813,Manistee County,MI,23475,23039,200,236
1814,Manitowoc County,WI,75226,73129,1007,1090
1815,Marathon County,WI,127201,121645,3479,2077
1816,Marengo County,AL,18569,18482,12,75
1817,Maricao Municipio,PR,5913,5750,0,163
1818,Maricopa County,AZ,3974752,3346991,252816,374945
1819,Maries County,MO,8479,8426,30,23
1820,Marin County,CA,248003,200258,22582,25163
1821,Marinette County,WI,38721,38149,371,201
1822,Marion County,AL,28426,28050,186,190
1823,Marion County,AR,15698,15498,113,87
1824,Marion County,FL,330952,305441,16171,9340
1825,Marion County,GA,8075,7635,158,282
1826,Marion County,IA,31247,30641,480,126
1827,Marion County,IL,35685,35176,232,277
1828,Marion County,IN,875155,787711,26842,60602
1829,Marion County,KS,11394,11252,82,60
1830,Marion County,KY,18089,17783,88,218
1831,Marion County,MO,26854,26605,122,127
1832,Marion County,MS,23714,23360,62,292
1833,Marion County,OH,61515,60530,453,532
1834,Marion County,OR,312842,270804,14787,27251
1835,Marion County,SC,29576,28900,191,485
1836,Marion County,TN,26756,26528,60,168
1837,Marion County,TX,9648,9462,50,136
1838,Marion County,WV,53201,52507,461,233
1839,Mariposa County,CA,16778,15531,517,730
1840,Marlboro County,SC,25709,25069,193,447
1841,Marquette County,MI,63656,62308,814,534
1842,Marquette County,WI,14417,14132,154,131
1843,Marshall County,AL,88609,82393,1157,5059
1844,Marshall County,IA,37550,32367,1405,3778
1845,Marshall County,IL,11143,10972,120,51
1846,Marshall County,IN,43717,41686,631,1400
1847,Marshall County,KS,9194,9089,58,47
1848,Marshall County,KY,29527,29174,206,147
1849,Marshall County,MN,8825,8664,82,79
1850,Marshall County,MS,33654,33124,221,309
1851,Marshall County,OK,15417,14259,167,991
1852,Marshall County,SD,4437,4235,13,189
1853,Marshall County,TN,30379,29431,111,837
1854,Marshall County,WV,30047,29820,198,29
1855,Martin County,FL,151142,135244,7588,8310
1856,Martin County,IN,9575,9544,13,18
1857,Martin County,KY,11333,11309,14,10
1858,Martin County,MN,18872,18641,139,92
1859,Martin County,NC,21821,21384,133,304
