,COUNTYNAME,STATE,Total_POPULATION,TOTAL_NATIVE,TOTAL_FOREIGN_BORN_NATURALIZED_CITIZEN,TOTAL_FOREIGN_BORN_NOT_US_CITIZEN
375,Cambria County,PA,127797,126091,944,762
376,Camden County,GA,48822,46440,1053,1329
377,Camden County,MO,43116,42039,455,622
378,Camden County,NC,9955,9653,215,87
379,Camden County,NJ,476121,420768,31543,23810
380,Cameron County,PA,4486,4379,71,36
381,Cameron County,TX,386098,287293,31472,67333
382,Cameron Parish,LA,6536,6203,141,192
383,Camp County,TX,11860,10592,513,755
384,Campbell County,KY,86865,84960,867,1038
385,Campbell County,SD,1373,1361,7,5
386,Campbell County,TN,37500,37214,136,150
387,Campbell County,VA,52423,50994,506,923
388,Campbell County,WY,44042,42644,620,778
389,Camuy Municipio,PR,30799,30599,73,127
390,Canadian County,OK,127295,121250,3317,2728
391,Candler County,GA,10198,9729,92,377
392,Cannon County,TN,13240,12960,69,211
393,Canyon County,ID,195845,178165,6322,11358
394,Cape Girardeau County,MO,73876,71652,551,1673
395,Cape May County,NJ,89324,84829,2366,2129
396,Carbon County,MT,10151,10045,73,33
397,Carbon County,PA,60976,59210,1215,551
398,Carbon County,UT,19028,18403,234,391
399,Carbon County,WY,14462,13547,240,675
400,Caribou County,ID,6448,6249,41,158
401,Carlisle County,KY,4557,4523,30,4
402,Carlton County,MN,33635,33214,249,172
403,Carolina Municipio,PR,150366,140537,5297,4532
404,Caroline County,MD,30865,29318,434,1113
405,Caroline County,VA,28048,27176,422,450
406,Carroll County,AR,26330,23935,651,1744
407,Carroll County,GA,108597,104234,1302,3061
408,Carroll County,IA,18995,18841,66,88
409,Carroll County,IL,13792,13463,222,107
410,Carroll County,IN,18949,18364,280,305
411,Carroll County,KY,9938,9621,104,213
412,Carroll County,MD,158774,152450,3859,2465
413,Carroll County,MO,8270,8154,62,54
414,Carroll County,MS,9674,9647,15,12
415,Carroll County,NH,45995,44701,731,563
416,Carroll County,OH,26269,26059,197,13
417,Carroll County,TN,26284,26037,115,132
418,Carroll County,VA,28298,27713,238,347
419,Carson City,NV,51584,44957,3019,3608
420,Carson County,TX,5667,5553,46,68
421,Carter County,KY,25633,25552,4,77
422,Carter County,MO,5848,5835,13,0
423,Carter County,MT,1251,1251,0,0
424,Carter County,OK,45083,43595,447,1041
425,Carter County,TN,53880,53305,289,286
426,Carteret County,NC,65956,63676,1102,1178
427,Carver County,MN,93864,88876,2897,2091
428,Cascade County,MT,76224,74486,1119,619
429,Casey County,KY,14858,14669,35,154
430,Cass County,IA,12500,12281,54,165
431,Cass County,IL,11845,10474,318,1053
432,Cass County,IN,35794,32362,877,2555
433,Cass County,MI,48907,48022,449,436
434,Cass County,MN,27352,27036,196,120
435,Cass County,MO,96527,94269,1206,1052
436,Cass County,ND,161795,149498,5009,7288
437,Cass County,NE,24172,23895,165,112
438,Cass County,TX,28605,28019,224,362
439,Cassia County,ID,21655,19055,602,1998
440,Castro County,TX,7183,5644,368,1171
441,Caswell County,NC,21688,21136,173,379
442,Catahoula Parish,LA,9303,9252,16,35
443,Catawba County,NC,147849,136965,4586,6298
444,Catoosa County,GA,62665,61098,684,883
445,Catron County,NM,3475,3407,68,0
446,Cattaraugus County,NY,73246,71770,975,501
447,Cavalier County,ND,3563,3530,13,20
448,Cayey Municipio,PR,42580,42311,71,198
449,Cayuga County,NY,73933,72171,880,882
450,Cecil County,MD,96781,93311,1938,1532
451,Cedar County,IA,17463,17303,115,45
452,Cedar County,MO,13045,12917,50,78
453,Cedar County,NE,7960,7932,14,14
454,Ceiba Municipio,PR,11317,10978,206,133
455,Centre County,PA,155000,141171,3862,9967
456,Cerro Gordo County,IA,40649,39520,574,555
457,Chaffee County,CO,18529,17922,256,351
458,Chambers County,AL,31876,31406,74,396
459,Chambers County,TX,37498,33930,1049,2519
460,Champaign County,IL,197845,172983,7530,17332
461,Champaign County,OH,36796,36398,259,139
462,Chariton County,MO,7062,7032,25,5
463,Charles City County,VA,6715,6600,42,73
464,Charles County,MD,148119,138684,5727,3708
