,COUNTYNAME,STATE,EDUCATION_LEVEL,PERCENT TOTAL
177,Bee County,TX,EDUCATION_LESS_9TH,10.9
178,Belknap County,NH,EDUCATION_LESS_9TH,1.8
179,Bell County,KY,EDUCATION_LESS_9TH,14.4
180,Bell County,TX,EDUCATION_LESS_9TH,3.9
181,Belmont County,OH,EDUCATION_LESS_9TH,2.2
182,Beltrami County,MN,EDUCATION_LESS_9TH,2.0
183,Ben Hill County,GA,EDUCATION_LESS_9TH,5.4
184,Benewah County,ID,EDUCATION_LESS_9TH,2.7
185,Bennett County,SD,EDUCATION_LESS_9TH,4.4
186,Bennington County,VT,EDUCATION_LESS_9TH,1.9
187,Benson County,ND,EDUCATION_LESS_9TH,4.5
188,Bent County,CO,EDUCATION_LESS_9TH,4.4
189,Benton County,AR,EDUCATION_LESS_9TH,5.5
190,Benton County,IA,EDUCATION_LESS_9TH,1.7
191,Benton County,IN,EDUCATION_LESS_9TH,2.2
192,Benton County,MN,EDUCATION_LESS_9TH,2.4
193,Benton County,MO,EDUCATION_LESS_9TH,4.8
194,Benton County,MS,EDUCATION_LESS_9TH,11.2
195,Benton County,OR,EDUCATION_LESS_9TH,1.8
196,Benton County,TN,EDUCATION_LESS_9TH,6.7
197,Benton County,WA,EDUCATION_LESS_9TH,5.1
198,Benzie County,MI,EDUCATION_LESS_9TH,2.4
199,Bergen County,NJ,EDUCATION_LESS_9TH,4.0
200,Berkeley County,SC,EDUCATION_LESS_9TH,3.4
201,Berkeley County,WV,EDUCATION_LESS_9TH,2.9
202,Berks County,PA,EDUCATION_LESS_9TH,5.3
203,Berkshire County,MA,EDUCATION_LESS_9TH,2.7
204,Bernalillo County,NM,EDUCATION_LESS_9TH,4.5
205,Berrien County,GA,EDUCATION_LESS_9TH,5.6
206,Berrien County,MI,EDUCATION_LESS_9TH,3.0
207,Bertie County,NC,EDUCATION_LESS_9TH,6.7
208,Bethel Census Area,AK,EDUCATION_LESS_9TH,7.8
209,Bexar County,TX,EDUCATION_LESS_9TH,7.5
210,Bibb County,AL,EDUCATION_LESS_9TH,5.7
211,Bibb County,GA,EDUCATION_LESS_9TH,4.0
212,Bienville Parish,LA,EDUCATION_LESS_9TH,4.2
213,Big Horn County,MT,EDUCATION_LESS_9TH,2.8
214,Big Horn County,WY,EDUCATION_LESS_9TH,2.8
215,Big Stone County,MN,EDUCATION_LESS_9TH,5.4
216,Billings County,ND,EDUCATION_LESS_9TH,4.1
217,Bingham County,ID,EDUCATION_LESS_9TH,6.1
218,Black Hawk County,IA,EDUCATION_LESS_9TH,3.2
219,Blackford County,IN,EDUCATION_LESS_9TH,2.7
220,Bladen County,NC,EDUCATION_LESS_9TH,6.6
221,Blaine County,ID,EDUCATION_LESS_9TH,6.2
222,Blaine County,MT,EDUCATION_LESS_9TH,3.6
223,Blaine County,NE,EDUCATION_LESS_9TH,0.0
224,Blaine County,OK,EDUCATION_LESS_9TH,7.3
225,Blair County,PA,EDUCATION_LESS_9TH,2.3
226,Blanco County,TX,EDUCATION_LESS_9TH,4.1
227,Bland County,VA,EDUCATION_LESS_9TH,3.7
228,Bleckley County,GA,EDUCATION_LESS_9TH,5.1
229,Bledsoe County,TN,EDUCATION_LESS_9TH,12.3
230,Blount County,AL,EDUCATION_LESS_9TH,7.5
231,Blount County,TN,EDUCATION_LESS_9TH,3.8
232,Blue Earth County,MN,EDUCATION_LESS_9TH,1.9
233,Boise County,ID,EDUCATION_LESS_9TH,1.3
234,Bolivar County,MS,EDUCATION_LESS_9TH,7.7
235,Bollinger County,MO,EDUCATION_LESS_9TH,7.0
236,Bon Homme County,SD,EDUCATION_LESS_9TH,6.2
