,COUNTYNAME,STATE,EDUCATION_LEVEL,PERCENT TOTAL
8767,Prairie County,MT,EDUCATION_HIGHSCHOOL,38.3
8768,Pratt County,KS,EDUCATION_HIGHSCHOOL,24.8
8769,Preble County,OH,EDUCATION_HIGHSCHOOL,43.6
8770,Prentiss County,MS,EDUCATION_HIGHSCHOOL,33.7
8771,Presidio County,TX,EDUCATION_HIGHSCHOOL,19.1
8772,Presque Isle County,MI,EDUCATION_HIGHSCHOOL,39.4
8773,Preston County,WV,EDUCATION_HIGHSCHOOL,48.8
8774,Price County,WI,EDUCATION_HIGHSCHOOL,40.3
8775,Prince Edward County,VA,EDUCATION_HIGHSCHOOL,32.7
8776,Prince George County,VA,EDUCATION_HIGHSCHOOL,32.6
8777,Prince George's County,MD,EDUCATION_HIGHSCHOOL,25.7
8778,Prince William County,VA,EDUCATION_HIGHSCHOOL,20.7
8779,Prince of Wales-Hyder Census Area,AK,EDUCATION_HIGHSCHOOL,37.3
8780,Providence County,RI,EDUCATION_HIGHSCHOOL,30.9
8781,Prowers County,CO,EDUCATION_HIGHSCHOOL,25.9
8782,Pueblo County,CO,EDUCATION_HIGHSCHOOL,28.7
8783,Pulaski County,AR,EDUCATION_HIGHSCHOOL,26.2
8784,Pulaski County,GA,EDUCATION_HIGHSCHOOL,37.5
8785,Pulaski County,IL,EDUCATION_HIGHSCHOOL,34.2
8786,Pulaski County,IN,EDUCATION_HIGHSCHOOL,47.0
8787,Pulaski County,KY,EDUCATION_HIGHSCHOOL,37.6
8788,Pulaski County,MO,EDUCATION_HIGHSCHOOL,27.6
8789,Pulaski County,VA,EDUCATION_HIGHSCHOOL,32.7
8790,Pushmataha County,OK,EDUCATION_HIGHSCHOOL,41.1
8791,Putnam County,FL,EDUCATION_HIGHSCHOOL,40.7
8792,Putnam County,GA,EDUCATION_HIGHSCHOOL,37.5
8793,Putnam County,IL,EDUCATION_HIGHSCHOOL,38.5
8794,Putnam County,IN,EDUCATION_HIGHSCHOOL,43.8
8795,Putnam County,MO,EDUCATION_HIGHSCHOOL,41.0
8796,Putnam County,NY,EDUCATION_HIGHSCHOOL,26.9
8797,Putnam County,OH,EDUCATION_HIGHSCHOOL,42.4
8798,Putnam County,TN,EDUCATION_HIGHSCHOOL,37.0
8799,Putnam County,WV,EDUCATION_HIGHSCHOOL,37.3
8800,Quay County,NM,EDUCATION_HIGHSCHOOL,39.9
8801,Quebradillas Municipio,PR,EDUCATION_HIGHSCHOOL,31.5
8802,Queen Anne's County,MD,EDUCATION_HIGHSCHOOL,29.6
8803,Queens County,NY,EDUCATION_HIGHSCHOOL,27.6
8804,Quitman County,GA,EDUCATION_HIGHSCHOOL,34.3
8805,Quitman County,MS,EDUCATION_HIGHSCHOOL,30.2
8806,Rabun County,GA,EDUCATION_HIGHSCHOOL,34.0
8807,Racine County,WI,EDUCATION_HIGHSCHOOL,31.6
8808,Radford city,VA,EDUCATION_HIGHSCHOOL,23.5
8809,Rains County,TX,EDUCATION_HIGHSCHOOL,41.8
8810,Raleigh County,WV,EDUCATION_HIGHSCHOOL,40.2
8811,Ralls County,MO,EDUCATION_HIGHSCHOOL,49.0
8812,Ramsey County,MN,EDUCATION_HIGHSCHOOL,20.9
8813,Ramsey County,ND,EDUCATION_HIGHSCHOOL,28.9
8814,Randall County,TX,EDUCATION_HIGHSCHOOL,21.9
8815,Randolph County,AL,EDUCATION_HIGHSCHOOL,36.3
8816,Randolph County,AR,EDUCATION_HIGHSCHOOL,35.6
8817,Randolph County,GA,EDUCATION_HIGHSCHOOL,37.2
8818,Randolph County,IL,EDUCATION_HIGHSCHOOL,39.3
8819,Randolph County,IN,EDUCATION_HIGHSCHOOL,42.5
8820,Randolph County,MO,EDUCATION_HIGHSCHOOL,35.4
8821,Randolph County,NC,EDUCATION_HIGHSCHOOL,33.8
8822,Randolph County,WV,EDUCATION_HIGHSCHOOL,48.4
8823,Rankin County,MS,EDUCATION_HIGHSCHOOL,26.3
8824,Ransom County,ND,EDUCATION_HIGHSCHOOL,39.1
8825,Rapides Parish,LA,EDUCATION_HIGHSCHOOL,37.5
8826,Rappahannock County,VA,EDUCATION_HIGHSCHOOL,28.7
8827,Ravalli County,MT,EDUCATION_HIGHSCHOOL,30.3
8828,Rawlins County,KS,EDUCATION_HIGHSCHOOL,30.4
8829,Ray County,MO,EDUCATION_HIGHSCHOOL,46.0
8830,Reagan County,TX,EDUCATION_HIGHSCHOOL,38.5
8831,Real County,TX,EDUCATION_HIGHSCHOOL,28.2
8832,Red Lake County,MN,EDUCATION_HIGHSCHOOL,38.4
8833,Red River County,TX,EDUCATION_HIGHSCHOOL,40.2
8834,Red River Parish,LA,EDUCATION_HIGHSCHOOL,40.0
8835,Red Willow County,NE,EDUCATION_HIGHSCHOOL,31.7
8836,Redwood County,MN,EDUCATION_HIGHSCHOOL,38.4
8837,Reeves County,TX,EDUCATION_HIGHSCHOOL,27.6
8838,Refugio County,TX,EDUCATION_HIGHSCHOOL,36.7
8839,Reno County,KS,EDUCATION_HIGHSCHOOL,27.9
8840,Rensselaer County,NY,EDUCATION_HIGHSCHOOL,29.1
8841,Renville County,MN,EDUCATION_HIGHSCHOOL,36.3
8842,Renville County,ND,EDUCATION_HIGHSCHOOL,33.8
8843,Republic County,KS,EDUCATION_HIGHSCHOOL,32.4
8844,Reynolds County,MO,EDUCATION_HIGHSCHOOL,41.3
8845,Rhea County,TN,EDUCATION_HIGHSCHOOL,37.1
8846,Rice County,KS,EDUCATION_HIGHSCHOOL,28.7
8847,Rice County,MN,EDUCATION_HIGHSCHOOL,31.0
8848,Rich County,UT,EDUCATION_HIGHSCHOOL,30.6
8849,Richardson County,NE,EDUCATION_HIGHSCHOOL,35.7
8850,Richland County,IL,EDUCATION_HIGHSCHOOL,29.9
8851,Richland County,MT,EDUCATION_HIGHSCHOOL,38.1
8852,Richland County,ND,EDUCATION_HIGHSCHOOL,27.5
8853,Richland County,OH,EDUCATION_HIGHSCHOOL,39.8
8854,Richland County,SC,EDUCATION_HIGHSCHOOL,22.4
8855,Richland County,WI,EDUCATION_HIGHSCHOOL,40.9
8856,Richland Parish,LA,EDUCATION_HIGHSCHOOL,40.6
8857,Richmond County,GA,EDUCATION_HIGHSCHOOL,30.7
8858,Richmond County,NC,EDUCATION_HIGHSCHOOL,34.9
8859,Richmond County,NY,EDUCATION_HIGHSCHOOL,30.9
8860,Richmond County,VA,EDUCATION_HIGHSCHOOL,38.8
8861,Richmond city,VA,EDUCATION_HIGHSCHOOL,22.3
8862,Riley County,KS,EDUCATION_HIGHSCHOOL,18.5
8863,Ringgold County,IA,EDUCATION_HIGHSCHOOL,38.9
8864,Rio Arriba County,NM,EDUCATION_HIGHSCHOOL,31.3
8865,Rio Blanco County,CO,EDUCATION_HIGHSCHOOL,33.7
8866,Rio Grande County,CO,EDUCATION_HIGHSCHOOL,30.2
8867,Ripley County,IN,EDUCATION_HIGHSCHOOL,43.5
8868,Ripley County,MO,EDUCATION_HIGHSCHOOL,42.0
8869,Ritchie County,WV,EDUCATION_HIGHSCHOOL,48.4
8870,Riverside County,CA,EDUCATION_HIGHSCHOOL,26.9
8871,Roane County,TN,EDUCATION_HIGHSCHOOL,37.1
8872,Roane County,WV,EDUCATION_HIGHSCHOOL,43.0
8873,Roanoke County,VA,EDUCATION_HIGHSCHOOL,25.5
8874,Roanoke city,VA,EDUCATION_HIGHSCHOOL,32.7
8875,Roberts County,SD,EDUCATION_HIGHSCHOOL,35.6
8876,Roberts County,TX,EDUCATION_HIGHSCHOOL,27.7
8877,Robertson County,KY,EDUCATION_HIGHSCHOOL,33.8
8878,Robertson County,TN,EDUCATION_HIGHSCHOOL,38.9
8879,Robertson County,TX,EDUCATION_HIGHSCHOOL,36.7
8880,Robeson County,NC,EDUCATION_HIGHSCHOOL,34.0
8881,Rock County,MN,EDUCATION_HIGHSCHOOL,33.5
8882,Rock County,NE,EDUCATION_HIGHSCHOOL,38.9
8883,Rock County,WI,EDUCATION_HIGHSCHOOL,36.4
8884,Rock Island County,IL,EDUCATION_HIGHSCHOOL,29.9
8885,Rockbridge County,VA,EDUCATION_HIGHSCHOOL,33.5
8886,Rockcastle County,KY,EDUCATION_HIGHSCHOOL,43.6
8887,Rockdale County,GA,EDUCATION_HIGHSCHOOL,31.5
8888,Rockingham County,NC,EDUCATION_HIGHSCHOOL,34.5
8889,Rockingham County,NH,EDUCATION_HIGHSCHOOL,25.1
8890,Rockingham County,VA,EDUCATION_HIGHSCHOOL,34.8
8891,Rockland County,NY,EDUCATION_HIGHSCHOOL,22.5
8892,Rockwall County,TX,EDUCATION_HIGHSCHOOL,19.6
8893,Roger Mills County,OK,EDUCATION_HIGHSCHOOL,37.2
8894,Rogers County,OK,EDUCATION_HIGHSCHOOL,32.8
8895,Rolette County,ND,EDUCATION_HIGHSCHOOL,25.2
8896,Rooks County,KS,EDUCATION_HIGHSCHOOL,31.3
8897,Roosevelt County,MT,EDUCATION_HIGHSCHOOL,34.6
8898,Roosevelt County,NM,EDUCATION_HIGHSCHOOL,29.7
8899,Roscommon County,MI,EDUCATION_HIGHSCHOOL,40.7
8900,Roseau County,MN,EDUCATION_HIGHSCHOOL,34.9
8901,Rosebud County,MT,EDUCATION_HIGHSCHOOL,32.1
8902,Ross County,OH,EDUCATION_HIGHSCHOOL,42.3
8903,Routt County,CO,EDUCATION_HIGHSCHOOL,19.7
8904,Rowan County,KY,EDUCATION_HIGHSCHOOL,29.5
8905,Rowan County,NC,EDUCATION_HIGHSCHOOL,32.8
8906,Runnels County,TX,EDUCATION_HIGHSCHOOL,34.9
8907,Rush County,IN,EDUCATION_HIGHSCHOOL,46.0
8908,Rush County,KS,EDUCATION_HIGHSCHOOL,26.8
8909,Rusk County,TX,EDUCATION_HIGHSCHOOL,31.5
8910,Rusk County,WI,EDUCATION_HIGHSCHOOL,41.0
8911,Russell County,AL,EDUCATION_HIGHSCHOOL,32.3
8912,Russell County,KS,EDUCATION_HIGHSCHOOL,27.3
8913,Russell County,KY,EDUCATION_HIGHSCHOOL,36.3
8914,Russell County,VA,EDUCATION_HIGHSCHOOL,36.1
8915,Rutherford County,NC,EDUCATION_HIGHSCHOOL,31.9
8916,Rutherford County,TN,EDUCATION_HIGHSCHOOL,28.3
8917,Rutland County,VT,EDUCATION_HIGHSCHOOL,35.1
8918,Sabana Grande Municipio,PR,EDUCATION_HIGHSCHOOL,33.5
8919,Sabine County,TX,EDUCATION_HIGHSCHOOL,39.0
8920,Sabine Parish,LA,EDUCATION_HIGHSCHOOL,46.4
8921,Sac County,IA,EDUCATION_HIGHSCHOOL,37.2
8922,Sacramento County,CA,EDUCATION_HIGHSCHOOL,22.3
8923,Sagadahoc County,ME,EDUCATION_HIGHSCHOOL,30.1
8924,Saginaw County,MI,EDUCATION_HIGHSCHOOL,33.6
8925,Saguache County,CO,EDUCATION_HIGHSCHOOL,29.8
8926,Salem County,NJ,EDUCATION_HIGHSCHOOL,37.7
8927,Salem city,VA,EDUCATION_HIGHSCHOOL,28.7
8928,Salinas Municipio,PR,EDUCATION_HIGHSCHOOL,38.1
8929,Saline County,AR,EDUCATION_HIGHSCHOOL,31.5
8930,Saline County,IL,EDUCATION_HIGHSCHOOL,28.5
8931,Saline County,KS,EDUCATION_HIGHSCHOOL,31.0
8932,Saline County,MO,EDUCATION_HIGHSCHOOL,39.4
8933,Saline County,NE,EDUCATION_HIGHSCHOOL,35.2
8934,Salt Lake County,UT,EDUCATION_HIGHSCHOOL,22.8
8935,Saluda County,SC,EDUCATION_HIGHSCHOOL,36.2
8936,Sampson County,NC,EDUCATION_HIGHSCHOOL,33.3
8937,San Augustine County,TX,EDUCATION_HIGHSCHOOL,39.0
8938,San Benito County,CA,EDUCATION_HIGHSCHOOL,24.8
8939,San Bernardino County,CA,EDUCATION_HIGHSCHOOL,26.5
8940,San Diego County,CA,EDUCATION_HIGHSCHOOL,18.4
8941,San Francisco County,CA,EDUCATION_HIGHSCHOOL,12.3
8942,San Jacinto County,TX,EDUCATION_HIGHSCHOOL,49.5
8943,San Joaquin County,CA,EDUCATION_HIGHSCHOOL,28.2
8944,San Juan County,CO,EDUCATION_HIGHSCHOOL,26.7
8945,San Juan County,NM,EDUCATION_HIGHSCHOOL,30.7
8946,San Juan County,UT,EDUCATION_HIGHSCHOOL,30.6
8947,San Juan County,WA,EDUCATION_HIGHSCHOOL,16.7
8948,San Juan Municipio,PR,EDUCATION_HIGHSCHOOL,22.1
8949,San Lorenzo Municipio,PR,EDUCATION_HIGHSCHOOL,27.2
8950,San Luis Obispo County,CA,EDUCATION_HIGHSCHOOL,19.8
8951,San Mateo County,CA,EDUCATION_HIGHSCHOOL,15.0
8952,San Miguel County,CO,EDUCATION_HIGHSCHOOL,15.2
8953,San Miguel County,NM,EDUCATION_HIGHSCHOOL,26.3
8954,San Patricio County,TX,EDUCATION_HIGHSCHOOL,32.7
8955,San Saba County,TX,EDUCATION_HIGHSCHOOL,33.8
8956,Sanborn County,SD,EDUCATION_HIGHSCHOOL,40.0
8957,Sanders County,MT,EDUCATION_HIGHSCHOOL,42.7
8958,Sandoval County,NM,EDUCATION_HIGHSCHOOL,25.0
8959,Sandusky County,OH,EDUCATION_HIGHSCHOOL,42.3
8960,Sangamon County,IL,EDUCATION_HIGHSCHOOL,27.9
8961,Sanilac County,MI,EDUCATION_HIGHSCHOOL,41.5
8962,Sanpete County,UT,EDUCATION_HIGHSCHOOL,27.7
8963,Santa Barbara County,CA,EDUCATION_HIGHSCHOOL,17.9
8964,Santa Clara County,CA,EDUCATION_HIGHSCHOOL,14.5
8965,Santa Cruz County,AZ,EDUCATION_HIGHSCHOOL,27.2
8966,Santa Cruz County,CA,EDUCATION_HIGHSCHOOL,15.8
8967,Santa Fe County,NM,EDUCATION_HIGHSCHOOL,22.9
8968,Santa Isabel Municipio,PR,EDUCATION_HIGHSCHOOL,39.1
8969,Santa Rosa County,FL,EDUCATION_HIGHSCHOOL,27.2
8970,Sarasota County,FL,EDUCATION_HIGHSCHOOL,29.1
8971,Saratoga County,NY,EDUCATION_HIGHSCHOOL,24.5
8972,Sargent County,ND,EDUCATION_HIGHSCHOOL,36.7
8973,Sarpy County,NE,EDUCATION_HIGHSCHOOL,21.1
8974,Sauk County,WI,EDUCATION_HIGHSCHOOL,34.4
8975,Saunders County,NE,EDUCATION_HIGHSCHOOL,29.8
8976,Sawyer County,WI,EDUCATION_HIGHSCHOOL,34.5
8977,Schenectady County,NY,EDUCATION_HIGHSCHOOL,29.3
8978,Schleicher County,TX,EDUCATION_HIGHSCHOOL,24.0
8979,Schley County,GA,EDUCATION_HIGHSCHOOL,35.3
8980,Schoharie County,NY,EDUCATION_HIGHSCHOOL,36.9
8981,Schoolcraft County,MI,EDUCATION_HIGHSCHOOL,44.3
8982,Schuyler County,IL,EDUCATION_HIGHSCHOOL,37.8
8983,Schuyler County,MO,EDUCATION_HIGHSCHOOL,46.9
8984,Schuyler County,NY,EDUCATION_HIGHSCHOOL,36.5
8985,Schuylkill County,PA,EDUCATION_HIGHSCHOOL,46.6
8986,Scioto County,OH,EDUCATION_HIGHSCHOOL,42.0
8987,Scotland County,MO,EDUCATION_HIGHSCHOOL,39.0
8988,Scotland County,NC,EDUCATION_HIGHSCHOOL,34.1
8989,Scott County,AR,EDUCATION_HIGHSCHOOL,43.0
8990,Scott County,IA,EDUCATION_HIGHSCHOOL,29.9
8991,Scott County,IL,EDUCATION_HIGHSCHOOL,48.7
8992,Scott County,IN,EDUCATION_HIGHSCHOOL,44.2
8993,Scott County,KS,EDUCATION_HIGHSCHOOL,28.9
8994,Scott County,KY,EDUCATION_HIGHSCHOOL,30.5
8995,Scott County,MN,EDUCATION_HIGHSCHOOL,22.6
8996,Scott County,MO,EDUCATION_HIGHSCHOOL,42.1
8997,Scott County,MS,EDUCATION_HIGHSCHOOL,35.5
8998,Scott County,TN,EDUCATION_HIGHSCHOOL,45.0
8999,Scott County,VA,EDUCATION_HIGHSCHOOL,37.2
9000,Scotts Bluff County,NE,EDUCATION_HIGHSCHOOL,28.9
9001,Screven County,GA,EDUCATION_HIGHSCHOOL,42.7
9002,Scurry County,TX,EDUCATION_HIGHSCHOOL,32.3
9003,Searcy County,AR,EDUCATION_HIGHSCHOOL,45.1
9004,Sebastian County,AR,EDUCATION_HIGHSCHOOL,32.0
9005,Sedgwick County,CO,EDUCATION_HIGHSCHOOL,30.0
9006,Sedgwick County,KS,EDUCATION_HIGHSCHOOL,26.2
9007,Seminole County,FL,EDUCATION_HIGHSCHOOL,21.7
9008,Seminole County,GA,EDUCATION_HIGHSCHOOL,39.6
9009,Seminole County,OK,EDUCATION_HIGHSCHOOL,34.1
9010,Seneca County,NY,EDUCATION_HIGHSCHOOL,34.9
9011,Seneca County,OH,EDUCATION_HIGHSCHOOL,46.1
9012,Sequatchie County,TN,EDUCATION_HIGHSCHOOL,39.2
9013,Sequoyah County,OK,EDUCATION_HIGHSCHOOL,38.5
9014,Sevier County,AR,EDUCATION_HIGHSCHOOL,36.1
9015,Sevier County,TN,EDUCATION_HIGHSCHOOL,36.4
9016,Sevier County,UT,EDUCATION_HIGHSCHOOL,33.1
9017,Seward County,KS,EDUCATION_HIGHSCHOOL,30.6
9018,Seward County,NE,EDUCATION_HIGHSCHOOL,26.9
9019,Shackelford County,TX,EDUCATION_HIGHSCHOOL,22.6
9020,Shannon County,MO,EDUCATION_HIGHSCHOOL,42.5
9021,Sharkey County,MS,EDUCATION_HIGHSCHOOL,24.2
9022,Sharp County,AR,EDUCATION_HIGHSCHOOL,42.0
9023,Shasta County,CA,EDUCATION_HIGHSCHOOL,24.8
9024,Shawano County,WI,EDUCATION_HIGHSCHOOL,44.5
9025,Shawnee County,KS,EDUCATION_HIGHSCHOOL,31.3
9026,Sheboygan County,WI,EDUCATION_HIGHSCHOOL,36.3
9027,Shelby County,AL,EDUCATION_HIGHSCHOOL,20.3
9028,Shelby County,IA,EDUCATION_HIGHSCHOOL,36.1
9029,Shelby County,IL,EDUCATION_HIGHSCHOOL,44.9
9030,Shelby County,IN,EDUCATION_HIGHSCHOOL,42.7
9031,Shelby County,KY,EDUCATION_HIGHSCHOOL,31.0
9032,Shelby County,MO,EDUCATION_HIGHSCHOOL,42.6
9033,Shelby County,OH,EDUCATION_HIGHSCHOOL,42.5
9034,Shelby County,TN,EDUCATION_HIGHSCHOOL,27.5
9035,Shelby County,TX,EDUCATION_HIGHSCHOOL,33.4
9036,Shenandoah County,VA,EDUCATION_HIGHSCHOOL,38.0
9037,Sherburne County,MN,EDUCATION_HIGHSCHOOL,27.8
9038,Sheridan County,KS,EDUCATION_HIGHSCHOOL,33.2
9039,Sheridan County,MT,EDUCATION_HIGHSCHOOL,29.3
9040,Sheridan County,ND,EDUCATION_HIGHSCHOOL,37.4
9041,Sheridan County,NE,EDUCATION_HIGHSCHOOL,34.3
9042,Sheridan County,WY,EDUCATION_HIGHSCHOOL,24.3
9043,Sherman County,KS,EDUCATION_HIGHSCHOOL,31.9
9044,Sherman County,NE,EDUCATION_HIGHSCHOOL,38.8
9045,Sherman County,OR,EDUCATION_HIGHSCHOOL,33.0
9046,Sherman County,TX,EDUCATION_HIGHSCHOOL,27.8
9047,Shiawassee County,MI,EDUCATION_HIGHSCHOOL,36.3
9048,Shoshone County,ID,EDUCATION_HIGHSCHOOL,38.5
9049,Sibley County,MN,EDUCATION_HIGHSCHOOL,39.2
9050,Sierra County,CA,EDUCATION_HIGHSCHOOL,26.6
9051,Sierra County,NM,EDUCATION_HIGHSCHOOL,28.4
9052,Silver Bow County,MT,EDUCATION_HIGHSCHOOL,33.8
9053,Simpson County,KY,EDUCATION_HIGHSCHOOL,44.7
9054,Simpson County,MS,EDUCATION_HIGHSCHOOL,33.2
9055,Sioux County,IA,EDUCATION_HIGHSCHOOL,31.4
9056,Sioux County,ND,EDUCATION_HIGHSCHOOL,32.2
9057,Sioux County,NE,EDUCATION_HIGHSCHOOL,31.0
9058,Siskiyou County,CA,EDUCATION_HIGHSCHOOL,25.5
9059,Sitka City and Borough,AK,EDUCATION_HIGHSCHOOL,28.3
9060,Skagit County,WA,EDUCATION_HIGHSCHOOL,26.3
9061,Skagway Municipality,AK,EDUCATION_HIGHSCHOOL,23.4
9062,Skamania County,WA,EDUCATION_HIGHSCHOOL,31.0
9063,Slope County,ND,EDUCATION_HIGHSCHOOL,28.0
9064,Smith County,KS,EDUCATION_HIGHSCHOOL,36.6
9065,Smith County,MS,EDUCATION_HIGHSCHOOL,42.0
9066,Smith County,TN,EDUCATION_HIGHSCHOOL,46.9
9067,Smith County,TX,EDUCATION_HIGHSCHOOL,24.2
9068,Smyth County,VA,EDUCATION_HIGHSCHOOL,37.9
9069,Snohomish County,WA,EDUCATION_HIGHSCHOOL,23.8
9070,Snyder County,PA,EDUCATION_HIGHSCHOOL,46.2
9071,Socorro County,NM,EDUCATION_HIGHSCHOOL,36.4
9072,Solano County,CA,EDUCATION_HIGHSCHOOL,23.3
9073,Somerset County,MD,EDUCATION_HIGHSCHOOL,40.3
9074,Somerset County,ME,EDUCATION_HIGHSCHOOL,40.2
9075,Somerset County,NJ,EDUCATION_HIGHSCHOOL,20.0
9076,Somerset County,PA,EDUCATION_HIGHSCHOOL,50.1
9077,Somervell County,TX,EDUCATION_HIGHSCHOOL,34.5
9078,Sonoma County,CA,EDUCATION_HIGHSCHOOL,18.8
9079,Southampton County,VA,EDUCATION_HIGHSCHOOL,30.4
9080,Southeast Fairbanks Census Area,AK,EDUCATION_HIGHSCHOOL,32.6
9081,Spalding County,GA,EDUCATION_HIGHSCHOOL,39.4
9082,Spartanburg County,SC,EDUCATION_HIGHSCHOOL,29.4
9083,Spencer County,IN,EDUCATION_HIGHSCHOOL,44.9
9084,Spencer County,KY,EDUCATION_HIGHSCHOOL,35.1
9085,Spink County,SD,EDUCATION_HIGHSCHOOL,36.5
9086,Spokane County,WA,EDUCATION_HIGHSCHOOL,23.6
9087,Spotsylvania County,VA,EDUCATION_HIGHSCHOOL,29.6
9088,St. Bernard Parish,LA,EDUCATION_HIGHSCHOOL,37.3
9089,St. Charles County,MO,EDUCATION_HIGHSCHOOL,25.1
9090,St. Charles Parish,LA,EDUCATION_HIGHSCHOOL,34.8
9091,St. Clair County,AL,EDUCATION_HIGHSCHOOL,36.0
9092,St. Clair County,IL,EDUCATION_HIGHSCHOOL,28.6
9093,St. Clair County,MI,EDUCATION_HIGHSCHOOL,34.4
9094,St. Clair County,MO,EDUCATION_HIGHSCHOOL,42.5
9095,St. Croix County,WI,EDUCATION_HIGHSCHOOL,25.9
9096,St. Francis County,AR,EDUCATION_HIGHSCHOOL,38.8
9097,St. Francois County,MO,EDUCATION_HIGHSCHOOL,37.7
9098,St. Helena Parish,LA,EDUCATION_HIGHSCHOOL,40.0
9099,St. James Parish,LA,EDUCATION_HIGHSCHOOL,42.9
9100,St. John the Baptist Parish,LA,EDUCATION_HIGHSCHOOL,38.0
9101,St. Johns County,FL,EDUCATION_HIGHSCHOOL,21.4
9102,St. Joseph County,IN,EDUCATION_HIGHSCHOOL,30.7
9103,St. Joseph County,MI,EDUCATION_HIGHSCHOOL,38.2
9104,St. Landry Parish,LA,EDUCATION_HIGHSCHOOL,40.9
9105,St. Lawrence County,NY,EDUCATION_HIGHSCHOOL,36.9
9106,St. Louis County,MN,EDUCATION_HIGHSCHOOL,28.0
9107,St. Louis County,MO,EDUCATION_HIGHSCHOOL,21.2
9108,St. Louis city,MO,EDUCATION_HIGHSCHOOL,23.6
9109,St. Lucie County,FL,EDUCATION_HIGHSCHOOL,33.7
9110,St. Martin Parish,LA,EDUCATION_HIGHSCHOOL,42.0
9111,St. Mary Parish,LA,EDUCATION_HIGHSCHOOL,50.0
9112,St. Mary's County,MD,EDUCATION_HIGHSCHOOL,30.0
9113,St. Tammany Parish,LA,EDUCATION_HIGHSCHOOL,26.3
9114,Stafford County,KS,EDUCATION_HIGHSCHOOL,30.3
9115,Stafford County,VA,EDUCATION_HIGHSCHOOL,22.5
9116,Stanislaus County,CA,EDUCATION_HIGHSCHOOL,28.6
9117,Stanley County,SD,EDUCATION_HIGHSCHOOL,33.1
9118,Stanly County,NC,EDUCATION_HIGHSCHOOL,34.7
9119,Stanton County,KS,EDUCATION_HIGHSCHOOL,30.2
9120,Stanton County,NE,EDUCATION_HIGHSCHOOL,32.3
9121,Stark County,IL,EDUCATION_HIGHSCHOOL,39.7
9122,Stark County,ND,EDUCATION_HIGHSCHOOL,33.0
9123,Stark County,OH,EDUCATION_HIGHSCHOOL,37.8
9124,Starke County,IN,EDUCATION_HIGHSCHOOL,42.1
9125,Starr County,TX,EDUCATION_HIGHSCHOOL,25.0
9126,Staunton city,VA,EDUCATION_HIGHSCHOOL,29.6
9127,Ste. Genevieve County,MO,EDUCATION_HIGHSCHOOL,40.0
9128,Stearns County,MN,EDUCATION_HIGHSCHOOL,27.9
9129,Steele County,MN,EDUCATION_HIGHSCHOOL,34.3
9130,Steele County,ND,EDUCATION_HIGHSCHOOL,29.2
9131,Stephens County,GA,EDUCATION_HIGHSCHOOL,36.7
9132,Stephens County,OK,EDUCATION_HIGHSCHOOL,41.1
9133,Stephens County,TX,EDUCATION_HIGHSCHOOL,29.8
9134,Stephenson County,IL,EDUCATION_HIGHSCHOOL,36.0
9135,Sterling County,TX,EDUCATION_HIGHSCHOOL,45.9
9136,Steuben County,IN,EDUCATION_HIGHSCHOOL,38.3
9137,Steuben County,NY,EDUCATION_HIGHSCHOOL,37.4
9138,Stevens County,KS,EDUCATION_HIGHSCHOOL,28.6
9139,Stevens County,MN,EDUCATION_HIGHSCHOOL,29.2
9140,Stevens County,WA,EDUCATION_HIGHSCHOOL,34.5
9141,Stewart County,GA,EDUCATION_HIGHSCHOOL,42.2
9142,Stewart County,TN,EDUCATION_HIGHSCHOOL,42.5
9143,Stillwater County,MT,EDUCATION_HIGHSCHOOL,35.8
9144,Stoddard County,MO,EDUCATION_HIGHSCHOOL,40.2
9145,Stokes County,NC,EDUCATION_HIGHSCHOOL,41.1
9146,Stone County,AR,EDUCATION_HIGHSCHOOL,36.3
9147,Stone County,MO,EDUCATION_HIGHSCHOOL,33.1
9148,Stone County,MS,EDUCATION_HIGHSCHOOL,34.1
9149,Stonewall County,TX,EDUCATION_HIGHSCHOOL,43.6
9150,Storey County,NV,EDUCATION_HIGHSCHOOL,30.0
9151,Story County,IA,EDUCATION_HIGHSCHOOL,17.9
9152,Strafford County,NH,EDUCATION_HIGHSCHOOL,28.0
9153,Stutsman County,ND,EDUCATION_HIGHSCHOOL,34.6
9154,Sublette County,WY,EDUCATION_HIGHSCHOOL,35.5
9155,Suffolk County,MA,EDUCATION_HIGHSCHOOL,22.4
9156,Suffolk County,NY,EDUCATION_HIGHSCHOOL,27.9
9157,Suffolk city,VA,EDUCATION_HIGHSCHOOL,28.1
9158,Sullivan County,IN,EDUCATION_HIGHSCHOOL,44.7
9159,Sullivan County,MO,EDUCATION_HIGHSCHOOL,49.3
9160,Sullivan County,NH,EDUCATION_HIGHSCHOOL,37.2
9161,Sullivan County,NY,EDUCATION_HIGHSCHOOL,33.6
9162,Sullivan County,PA,EDUCATION_HIGHSCHOOL,48.5
9163,Sullivan County,TN,EDUCATION_HIGHSCHOOL,34.7
9164,Sully County,SD,EDUCATION_HIGHSCHOOL,34.7
9165,Summers County,WV,EDUCATION_HIGHSCHOOL,44.1
9166,Summit County,CO,EDUCATION_HIGHSCHOOL,19.0
9167,Summit County,OH,EDUCATION_HIGHSCHOOL,30.6
9168,Summit County,UT,EDUCATION_HIGHSCHOOL,15.0
9169,Sumner County,KS,EDUCATION_HIGHSCHOOL,34.1
9170,Sumner County,TN,EDUCATION_HIGHSCHOOL,31.1
